zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,8.18225565376542,20.627065567400674,12.444809913635254,0.008571218242019008,0.6630599987608496,0.6716312170028687,0.0003059237953313881,0.0003059237953313881,0.0,0.32051315903663635,0.0,0.32051315903663635,0.007717589779577483,0.11361009155102753,0.10589250177145004,0.022733823052264582,0.08142083079495298,0.10415465384721756,0.08334638205692313,0.12039999636486032,0.20374637842178345,0.06590097125224206,0.04470252518006232,0.11060349643230438,12.175384573402816,42.96927838748973,30.793893814086914,0.2280043259864178,0.3117956622833881,0.5397999882698059,0.5962318142869378,164.2793983181932,163.68316650390625,56.26994308208975,143.34142287945303,87.07147979736328
AEL,0.2178998348295309,0.3126835507332899,0.094783715903759,0.02738252983569045,0.9208047021818266,0.9481872320175171,0.0,0.0,0.0,0.0,0.0,0.0,0.0004831832485778811,6.206770180327869e-05,0.0005452509503811598,2.7437437049180326e-05,2.7437437049180326e-05,0.0,0.00014635081016393443,0.00014635081016393443,0.0,0.03128538523871188,0.0045432386819672125,0.03582862392067909,13.518759716948137,14.856417666474714,28.37517738342285,0.3917588621375582,0.7992156773803255,0.40745681524276733,13.6025812081717,198.7063867501639,185.1038055419922,58.59139894348789,135.1113498101871,76.51995086669922
MFI,16.189817535145686,34.472482574717596,50.66230010986328,0.0,0.0,0.0,0.5333336194356283,0.16666666666666666,0.7000002861022949,15.563643854513343,4.722506124124353,20.286149978637695,0.005697697264154811,0.26331508145948257,0.25761738419532776,0.004150697464621876,0.014728352924310352,0.018879050388932228,0.021728713093130958,0.2615271322151729,0.28325584530830383,0.02202020785317348,0.011729793487931028,0.03375000134110451,0.18789139258453247,36.61228332055023,36.800174713134766,0.15568943107637834,0.16496901428189803,0.32065844535827637,34.47882811273439,134.04079468999998,168.51962280273438,20.59919495454696,131.60373444429305,111.0045394897461
LTA,2.3892910079453986,3.976513107249598,1.5872220993041992,0.4990753124986655,0.030950348493003228,0.5300256609916687,1.3233008132791544,2.597687934479716,1.2743871212005615,9.964558223442612,9.964558223442612,0.0,0.18581318753333156,0.058628187603043856,0.24444137513637543,0.005942556492307693,0.005942556492307693,0.0,0.13636064817598392,0.387373027303905,0.5237336754798889,0.07217903188283056,0.16606423011834234,0.09388519823551178,36.751064702359876,18.248286799104967,54.999351501464844,0.5913453042503372,0.5553032219413743,1.1466485261917114,6.72745731106491,142.05449893704147,135.32704162597656,9.023726672966234,132.41772386534905,123.39399719238281
AFI,0.34436288441161134,1.0725220140312097,0.7281591296195984,0.1528705218517069,0.5604947349346395,0.7133652567863464,0.0047563289248334925,0.0047563289248334925,0.0,2.049995693310773,0.024471965685809206,2.074467658996582,0.0009711387251673991,0.0054644138867796605,0.00643555261194706,0.004174456067704944,0.000486565686440678,0.004661021754145622,0.0003705678997666835,0.02193054580372882,0.021559977903962135,0.12124755821484962,0.16559783212203422,0.0443502739071846,6.329370665081534,44.690923857220206,38.36155319213867,0.018695606008727994,0.4569510352766113,0.4382554292678833,3.66572564785551,172.82254022305082,169.1568145751953,3.1759801584921235,104.55146843974212,101.37548828125
IWR,3.6811471796827853,21.114352621952957,24.795499801635742,0.0,0.0,0.0,0.9649563665840635,7.865466988518476,8.830423355102539,12.546681674537266,13.40967628139535,25.956357955932617,0.19509082197357117,0.19509082197357117,0.0,0.00016491591642857145,0.00016491591642857145,0.0,0.07329076554520488,0.06702710662142873,0.1403178721666336,0.059116734125740616,0.23154293193566075,0.29065966606140137,17.74871179628402,25.227768154621423,7.479056358337402,0.06381364022650263,0.17823472763143042,0.24204836785793304,7.751642781774564,167.20371000142856,174.95535278320312,146.62242291019632,183.37757708980368,330.0
BEA,8.111127988713228,28.35025228680893,20.239124298095703,0.0,0.0,0.0,0.8996800304566204,6.426794898620683,5.5271148681640625,11.997549945165495,8.74803835744681,20.745588302612305,0.0605869227757516,0.017745389629357806,0.0783323124051094,0.014625184286438438,0.0020656287185321113,0.01669081300497055,0.08788602711100083,0.10491677461724777,0.1928028017282486,0.08456284022787469,0.27238776004770654,0.18782491981983185,1.9757647618757357,13.476456154872311,15.452220916748047,0.0019968297620646114,0.26813815499743143,0.2661413252353668,0.37876964058202134,156.26075672660548,156.6395263671875,40.02305748088219,336.10872032267906,296.0856628417969
MTW,22.97020080200126,39.516733859863976,62.486934661865234,0.0,0.0,0.0,0.0,0.0,0.0,38.52518670218683,9.663499668662782,48.18868637084961,0.009894752248858121,0.1061644988807691,0.11605925112962723,0.022708510847307708,0.022708510847307708,0.0,0.10364057259383383,0.23343370990576925,0.12979313731193542,0.049475102653030574,0.034685068796153844,0.08416017144918442,0.16286289142467325,41.18174182819225,41.01887893676758,0.08636613861565814,0.24500531776900067,0.3313714563846588,1.9822874941016266,153.44753733499994,155.42982482910156,152.61785738233698,286.33435209031927,438.95220947265625
MEL,20.71469640672146,51.227246760725365,30.512550354003906,0.0,0.0,0.0,1.2805969120000005,1.2805969120000005,0.0,3.4907020275486698,4.293182020913244,7.783884048461914,0.02761131502384613,0.09752814494376709,0.12513945996761322,0.01723926236233294,0.01844146895533979,0.0012022065930068493,0.014148438894181076,0.22396734861192244,0.23811578750610352,0.02468445875465957,0.058665040664077676,0.033980581909418106,8.68865426902051,51.00806650046582,42.31941223144531,0.003324665667271104,0.23377678597137877,0.23045212030410767,5.3200382963755715,152.20777938524276,146.8877410888672,85.01877248175383,98.69811594598055,183.71688842773438
LEV,5.4770082598925,10.364741885065996,15.841750144958496,0.1487496744974604,0.42506011837563423,0.27631044387817383,0.2842416189636433,0.04909172430379747,0.3333333432674408,2.499286370383857,0.1281218956836478,2.627408266067505,0.07694653236530921,0.16655869222022393,0.24350522458553314,0.002518026417977528,0.002518026417977528,0.0,0.10259463644462027,0.15881405019325814,0.2614086866378784,0.0034012314127170214,0.012778542543820225,0.016179773956537247,7.680554836519931,22.708351581820224,15.027796745300293,0.02900273384571378,0.21684355257034,0.24584628641605377,4.505676450248814,156.95500165033712,161.46067810058594,94.7435813159496,134.08208701901134,228.82566833496094
