zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6111111111111112,1.0,1.0,0.4444444444444444,0.8333333333333334,1.0,1.0,1.0,0.9444444444444444,0.8333333333333334,0.7222222222222222,0.5
FER,C1CNCCN1,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,0.5882352941176471,1.0,1.0
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.0,1.0,1.0,1.0,1.0,1.0,0.5294117647058824,1.0,1.0,1.0,1.0,0.5294117647058824
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.875,1.0,1.0,0.875,0.5,1.0,0.375,1.0,0.25,1.0,0.625,0.75
MWW,CCCCCCC[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFI,CCN,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,0.8666666666666667,1.0,0.9333333333333333
AFR,CCC[N+](CCC)(CCC)CCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AST,c1ccncc1,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.8571428571428571,1.0
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.6428571428571429
TON,NCCCCCCCCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.0,0.6923076923076923,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846154,0.38461538461538464,0.8461538461538461
MFI,CCCN(CCC)CCCCCN(CCC)CCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.9166666666666666,1.0,1.0,0.9166666666666666,0.75,0.75,0.9166666666666666,1.0,1.0,1.0,1.0,0.75
CHA,CC(C)NC(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
STF,CCC1CCCC[N+]12CCCCC2,0.9166666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,0.45454545454545453,1.0
UFI,CC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
ITE,NCCNCCNCCNCCNCCN,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,1.0
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.7
AFI,[CH]1C=CC=C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,0.0,1.0
CLO,C1CN2CCC1CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5,0.1,0.9,0.7
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0
FER,NCCCCN,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.3333333333333333
MTN,C1CCNC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,0.8888888888888888,1.0,1.0
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.6666666666666666,1.0,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0
LEV,CC[N+](C)(C)CC,0.5555555555555556,0.5555555555555556,0.8888888888888888,1.0,0.6666666666666666,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
LAU,c1c[nH]cn1,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,1.0
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.6666666666666666,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.8888888888888888
