zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.975,0.975,0.95,1.0,1.0,0.995,1.0,1.0,0.975,1.0,0.95,0.785
AEL,CCCNCCC,0.69,0.96,1.0,1.0,0.965,0.985,0.98,1.0,0.985,0.98,1.0,1.0
CHA,OSDA-free,0.83,0.985,1.0,1.0,0.84,0.69,0.85,1.0,0.97,1.0,0.84,0.925
MFI,OSDA-free,0.825,0.995,1.0,1.0,0.93,0.795,1.0,1.0,1.0,1.0,0.92,0.895
CHA,CCN(CC)CC,0.91,0.865,1.0,1.0,0.96,1.0,0.925,1.0,0.975,1.0,0.77,0.97
LTA,C[N+](C)(C)C,0.89,0.99,1.0,1.0,0.93,0.84,0.61,1.0,0.75,0.765,1.0,0.985
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.675,0.97,0.995,1.0,1.0,0.97,0.845,0.835,0.84,0.87,0.925,0.75
CHA,C1COCCN1,0.69,0.305,1.0,1.0,0.77,1.0,0.705,1.0,0.915,0.96,0.79,0.99
ATO,CCCNCCC,0.77,0.06,1.0,1.0,0.785,0.975,1.0,1.0,0.87,0.77,0.68,0.625
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.685,0.995,0.865,0.955,0.77,0.89,0.895,0.985,0.7,0.65,0.6,0.55
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.415,0.47,0.99,0.995,0.815,1.0,0.95,1.0,0.565,0.68,0.62,0.775
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.755,0.57,0.88,0.985,0.745,0.905,0.835,0.955,0.21,0.69,0.825,0.505
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.45,1.0,0.925,0.94,0.835,0.9,0.81,0.94,0.955,0.885,0.43,0.405
LEV,C[N+]12CCC(CC1)CC2,0.725,1.0,0.945,0.97,0.94,0.925,0.725,0.85,0.675,0.58,0.65,0.82
AFI,CCCN(CCC)CCC,0.585,0.49,1.0,0.995,0.835,0.98,0.905,0.925,0.925,0.925,0.5,0.9
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5,0.955,0.775,0.935,0.815,0.94,0.845,1.0,0.51,0.81,0.505,0.2
MAZ,OSDA-free,0.245,0.995,0.985,0.92,0.49,0.8,0.595,1.0,0.72,1.0,0.57,0.895
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.64,0.995,0.98,1.0,1.0,0.925,0.925,0.84,0.52,0.6,0.02,0.535
AEN,CC[n+]1ccn(C)c1C,0.19,0.0,0.2,0.19,0.9,1.0,0.85,0.48,0.83,0.48,0.61,0.28
FAU,C1COCCOCCOCCOCCOCCO1,0.56,0.9,0.745,0.78,0.41,0.91,0.925,0.935,0.705,0.54,0.185,0.655
FAU,CC[N+](CC)(CC)CC,0.33,0.915,0.875,0.875,0.325,0.845,0.395,0.995,0.51,0.295,0.365,0.235
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.44,0.405,0.025,0.99,0.65,0.87,0.39,0.85,0.95,0.81,0.695,0.385
PHI,OSDA-free,0.25,0.995,0.995,0.995,0.59,0.79,0.365,1.0,0.905,1.0,0.215,0.74
GIS,CCCNCCC,0.52,0.28,1.0,1.0,0.86,0.96,0.97,0.99,0.205,0.715,0.305,0.545
LEV,C[N+]1(C)CCCCC1,0.79,0.985,0.93,0.955,0.99,0.905,0.815,0.83,0.9,0.97,0.685,0.6
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.515,0.98,0.095,0.99,0.755,0.85,0.995,0.78,0.57,0.62,0.055,0.235
FER,C[N+]1(Cc2ccccc2)CCCC1,0.435,0.965,0.905,1.0,0.965,0.93,0.715,0.92,0.69,0.385,0.765,0.255
