,0
Si/Al,0.7224251869447011
Al/P,0.8180935034946328
Si/Ge,0.8822453821631195
Si/B,0.879061910384503
Na/T,0.8183608212921913
K/T,0.9450852980478
OH/T,0.8035753092131244
F/T,0.8737975711303214
H2O/T,0.7122845254798276
sda1/T,0.6686090847095697
cryst_temp,0.6685422152494751
cryst_time,0.5318471055621772
