zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,2.8160037994384766,9.628806114196777,12.444809913635254,0.5160069912672043,0.15562422573566437,0.6716312170028687,0.07608695328235626,0.07608695328235626,0.0,0.32051315903663635,0.0,0.32051315903663635,0.09845015173777938,0.007442350033670664,0.10589250177145004,0.10415465384721756,0.0,0.10415465384721756,0.15178393572568893,0.05196244269609451,0.20374637842178345,0.10977539495797828,0.0008281014743261039,0.11060349643230438,13.34205436706543,17.451839447021484,30.793893814086914,0.3621426820755005,0.17765730619430542,0.5397999882698059,11.385665893554688,152.29750061035156,163.68316650390625,37.085838317871094,124.15731811523438,87.07147979736328
AEL,0.094783715903759,0.0,0.094783715903759,0.05181276798248291,1.0,0.9481872320175171,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452509503811598,0.0,0.0005452509503811598,0.0,0.0,0.0,0.0,0.0,0.0,0.03582862392067909,0.0,0.03582862392067909,14.775869369506836,13.599308013916016,28.37517738342285,0.00328749418258667,0.40416932106018066,0.40745681524276733,9.91937255859375,175.18443298339844,185.1038055419922,29.12769317626953,47.39225769042969,76.51995086669922
MFI,27.876985549926758,22.785314559936523,50.66230010986328,0.02327902615070343,0.02327902615070343,0.0,,,0.7000002861022949,10.286149978637695,10.0,20.286149978637695,0.35751107335090637,0.6151284575462341,0.25761738419532776,0.018879050388932228,0.0,0.018879050388932228,0.013525128364562988,0.26973071694374084,0.28325584530830383,0.024665753357112408,0.0090842479839921,0.03375000134110451,3.6553001403808594,33.144874572753906,36.800174713134766,0.20253314077854156,0.1181253045797348,0.32065844535827637,21.757568359375,146.76205444335938,168.51962280273438,18.13324737548828,129.13778686523438,111.0045394897461
LTA,27.90751552581787,29.49473762512207,1.5872220993041992,0.5173608157783747,0.01266484521329403,0.5300256609916687,2.4371073246002197,3.7114944458007812,1.2743871212005615,0.0,0.0,0.0,0.04654349386692047,0.2909848690032959,0.24444137513637543,0.0,0.0,0.0,0.810812771320343,1.334546446800232,0.5237336754798889,0.21623675525188446,0.31012195348739624,0.09388519823551178,34.30006217956543,20.699289321899414,54.999351501464844,0.28163838386535645,0.865010142326355,1.1466485261917114,47.847747802734375,87.47929382324219,135.32704162597656,14.114212036132812,137.50820922851562,123.39399719238281
AFI,0.7281591296195984,0.0,0.7281591296195984,0.5212127566337585,0.1921525001525879,0.7133652567863464,0.24576272070407867,0.24576272070407867,0.0,2.074467658996582,0.0,2.074467658996582,0.00643555261194706,0.0,0.00643555261194706,0.004661021754145622,0.0,0.004661021754145622,0.021559977903962135,0.0,0.021559977903962135,0.0443502739071846,0.0,0.0443502739071846,18.648454666137695,19.713098526000977,38.36155319213867,0.09577071666717529,0.342484712600708,0.4382554292678833,4.0720672607421875,165.08474731445312,169.1568145751953,48.179508209228516,53.195980072021484,101.37548828125
IWR,,,24.795499801635742,0.5535714030265808,0.5535714030265808,0.0,1.1710376739501953,10.001461029052734,8.830423355102539,,,25.956357955932617,0.0,0.0,0.0,0.0,0.0,0.0,0.1403178721666336,0.0,0.1403178721666336,0.29065966606140137,0.0,0.29065966606140137,2.4611263275146484,9.94018268585205,7.479056358337402,0.11852175742387772,0.12352661043405533,0.24204836785793304,11.116073608398438,163.8392791748047,174.95535278320312,170.94696044921875,159.05303955078125,330.0
BEA,88.22047805786133,108.45960235595703,20.239124298095703,0.7096244692802429,0.7096244692802429,0.0,,,5.5271148681640625,,,20.745588302612305,0.07761635666247457,0.0007159557426348329,0.0783323124051094,0.01669081300497055,0.0,0.01669081300497055,0.16652431711554527,0.026278484612703323,0.1928028017282486,0.0278041809797287,0.16002073884010315,0.18782491981983185,6.538578033447266,8.913642883300781,15.452220916748047,0.0321231335401535,0.23401819169521332,0.2661413252353668,0.4478759765625,157.08740234375,156.6395263671875,84.38716125488281,211.69850158691406,296.0856628417969
MTW,10.006916046142578,72.49385070800781,62.486934661865234,0.0,0.0,0.0,,,0.0,,,48.18868637084961,0.019998513162136078,0.1360577642917633,0.11605925112962723,0.0,0.0,0.0,0.017795443534851074,0.11199769377708435,0.12979313731193542,0.07214094046503305,0.012019230984151363,0.08416017144918442,5.760295867919922,35.258583068847656,41.01887893676758,0.12435276806354523,0.2070186883211136,0.3313714563846588,1.9291839599609375,157.3590087890625,155.42982482910156,261.2760467529297,177.67616271972656,438.95220947265625
MEL,20.753459930419922,51.26601028442383,30.512550354003906,0.0017857251223176718,0.0017857251223176718,0.0,,,0.0,,,7.783884048461914,0.11993237724527717,0.005207082722336054,0.12513945996761322,0.0012022065930068493,0.0,0.0012022065930068493,0.21992905996739864,0.018186727538704872,0.23811578750610352,0.033980581909418106,0.0,0.033980581909418106,7.006866455078125,49.32627868652344,42.31941223144531,0.019345581531524658,0.24979770183563232,0.23045212030410767,13.760711669921875,160.64845275878906,146.8877410888672,12.699905395507812,171.01698303222656,183.71688842773438
LEV,10.413946628570557,5.4278035163879395,15.841750144958496,0.29349178075790405,0.5698022246360779,0.27631044387817383,,,0.3333333432674408,,,2.627408266067505,0.21405114233493805,0.4575563669204712,0.24350522458553314,0.0,0.0,0.0,0.2614086866378784,0.0,0.2614086866378784,0.016179773956537247,0.0,0.016179773956537247,0.8154878616333008,15.843284606933594,15.027796745300293,0.009600654244422913,0.2554469406604767,0.24584628641605377,10.168548583984375,151.29212951660156,161.46067810058594,113.16390228271484,115.6617660522461,228.82566833496094
