zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
MWW,CCCCCCC[N+](C)(C)C,0.0,0.0,0.0,0.0,1.0,0.6875,0.6875,1.0,0.0,0.0,0.0,0.0
MFI,CCN,0.0,0.7333333333333333,0.0,0.0,0.0,1.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0
TON,NCCCCCCCCN,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142,1.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0
AFR,CCC[N+](CCC)(CCC)CCC,1.0,0.0,0.6428571428571429,0.6428571428571429,1.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.8571428571428571,0.0
AST,c1ccncc1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.7857142857142857,1.0
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.21428571428571427,0.0,0.0
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,1.0,1.0,0.3076923076923077,0.7692307692307693,0.38461538461538464,0.0,0.0
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
STF,CCC1CCCC[N+]12CCCCC2,0.0,0.25,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.0,0.75,0.0,0.0,0.75,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,0.0
