zeo,WSD
CHA,0.4315226073142582
AEL,0.2761771983645416
MFI,0.36401273936190814
LTA,0.3817916426947174
AFI,0.3662502442567329
IWR,0.8619487427584928
BEA,0.46219615933701536
MTW,0.5944028320471628
MEL,0.4298960176139356
LEV,0.44685589102154954
FAU,0.25501932853313714
BEC,0.9196665622748192
FER,0.5270123100229047
ATO,0.23596863155347542
MWW,0.7796094187016844
IMF,0.22877941630778953
AEN,0.7094765391689899
STF,0.47839547868033544
MAZ,0.19607116040752168
AEI,0.5255972046214498
GIS,0.6110201315375479
TON,0.9406401194016698
ITE,0.5132864950397538
NON,0.9716338656229867
MOR,0.4523490304571322
AST,0.8785916269761014
PHI,0.2897722478101992
SAV,0.4229952566983887
UOV,1.3115701642485065
ITT,0.8252699776933726
MTT,0.4108529397307486
ITG,0.6855878073183264
CON,0.8891534930447498
NSI,1.0025660796036737
ERI,0.3554980361814284
MTN,0.9608831172698757
MRE,0.7940703984601309
AFR,0.5982810653090403
SWY,0.3413304734813728
LAU,0.91223080180255
DDR,0.488986940691647
AFX,0.5186937535138236
UFI,0.7506200378304202
ISV,1.077753194095826
ANA,0.2991970154488578
CLO,0.781566171075962
OFF,0.6747091492188512
STI,1.5031036676520775
CTH,1.2622938244514805
SFS,1.1242760859861496
AWO,0.562853633061638
DOH,1.4846601254306906
SOD,1.426988407817745
STW,1.4275900454532358
UOZ,0.7443647285766947
MEI,0.8201297724914848
ETL,0.68830238267953
AVE,0.4104915187836148
SZR,0.2893506387588401
JST,1.2111055128282406
IFR,0.4352270601767881
IFW,1.259926059350113
CGS,1.3292883195767549
PWN,0.32223049361891165
ATS,0.5065419158502086
RTH,1.257166540630564
EUO,0.36794408990934035
EMT,0.859213937789838
BPH,0.23884355581647465
AWW,0.7363576165650252
ASV,0.8921399807428556
IHW,0.39388092535734676
RWY,1.4965172530178745
LTJ,0.7283533625953997
SFH,1.363669605269195
NES,0.563045921850122
IRR,1.2480390003720307
TUN,0.5974361744319148
IWV,0.49296510479836686
EON,0.5353701116048957
STO,1.096696961495925
ITW,1.057157880211021
SFW,0.5475426744529848
IFU,1.0209434748527206
VFI,0.6089434410617215
EEI,0.2509929428650655
SFG,1.5848767067053475
LOS,1.3288026345150181
SFV,0.08416680778016579
IFO,1.3650972175315905
RTE,1.2959647538028845
MER,0.932133955937088
AFN,0.7469960418662275
APC,0.845667239279916
SFN,1.430330807073497
SSY,1.1839766880614402
PUN,0.747439709425228
LTL,1.0296213045027534
UOS,1.3153043776427364
CGF,1.7915975865728215
AHT,0.6352940922666361
VET,1.3084530303591047
ABW,1.0642586833891987
PWW,0.4550782843207286
