smiles,lat_0,lat_1,lat_2,lat_3,lat_4,lat_5,lat_6,lat_7,lat_8,lat_9,lat_10,lat_11,lat_12,lat_13,lat_14,lat_15,lat_16,lat_17,lat_18,lat_19,lat_20,lat_21,lat_22,lat_23,lat_24,lat_25,lat_26,lat_27,lat_28,lat_29,lat_30,lat_31,lat_32,lat_33,lat_34,lat_35,lat_36,lat_37,lat_38,lat_39,lat_40,lat_41,lat_42,lat_43,lat_44,lat_45,lat_46,lat_47,lat_48,lat_49,lat_50,lat_51,lat_52,lat_53,lat_54,lat_55,lat_56,lat_57,lat_58,lat_59,lat_60,lat_61,lat_62,lat_63,PCA 1,PCA 2,t-SNE 1,t-SNE 2,asphericity_mean_0,axes_mean_0,axes_mean_1,formal_charge,free_sasa_mean_0,mol_weight,npr1_mean_0,npr2_mean_0,num_rot_bonds_mean_0,pmi1_mean_0,pmi2_mean_0,pmi3_mean_0,spherocity_index_mean_0,volume_mean_0
C[C@H]1CCC[C@@H](C)N1,0.7143998,-0.6789347,3.6112616,5.897368,2.0127752,-0.4506767,0.99529576,-0.48900035,-6.413489,5.7898784,0.706977,-0.47131342,2.1171696,2.8349245,-2.8310115,-0.73857486,6.901428,-6.2920904,1.010271,7.7500653,1.8491004,-7.2965755,-2.8582556,-1.8499565,-0.08574742,-2.1977077,-0.18225059,0.95864844,-0.6504705,1.8243283,0.57700413,-2.8990543,1.9871125,5.514337,4.2546983,0.56065154,0.7377968,-0.48481154,1.2779781,-0.3564782,-1.126127,4.5535364,2.136917,-1.3034619,-1.274292,5.1767387,3.6745534,-3.4380906,-3.3356452,1.325698,-5.3400846,1.0426626,-4.1510477,-0.24555458,-4.7888284,-3.288763,-2.2157347,-1.7224393,-3.440274,-2.101647,0.87825304,0.9518967,1.6025286,-0.82220393,-0.8020864332474198,1.9942852920927956,8.502823,-4.3851237,0.2505048880040726,4.987494126698135,6.721601463760294,0,317.0636980694194,113.204,0.3983116111801162,0.6847354945575882,0.0,172.76571338176598,296.9965822559362,433.7444146241349,0.2910439300535579,130.10100000000003
C[C@H]1CCC[C@@H](C)[N+]1(C)C,7.62029,-3.0690496,6.7627954,3.8538392,-2.897305,-3.226229,1.4447682,1.6328518,1.1402473,6.3069334,1.3910935,1.7920421,-6.4847016,4.0718536,2.1894636,-4.516688,-4.7861547,2.4512966,8.658977,-0.5919554,4.862872,-6.3329067,0.70138085,-4.606661,2.944317,0.96121156,3.952617,-2.242841,-3.2069783,-3.3576412,-6.130847,4.3526025,1.3872106,14.754128,-4.17798,-4.890669,6.2652593,0.86426425,13.658891,-13.881729,-2.2315817,-1.9360421,2.0614188,-4.992035,-4.9216337,7.889874,-0.19765756,-4.80861,2.3835156,-5.493489,6.163965,-5.8606706,2.4644,-1.7344006,-0.41035947,3.6555762,0.41487205,1.9096473,-0.3678338,-10.235228,-0.058995664,-2.3373575,4.8094835,-3.17267,1.636183685419668,-4.043248214787676,-4.577613,-11.221664,0.122322574611098,5.89211190740708,6.867873239042221,1,343.5523304513031,142.26599999999996,0.5699620653333008,0.6659125432729923,0.0,322.24005760560794,376.4876811400073,565.3710610193594,0.4599906686471107,166.86933333333337
C[C@H]1CCC[C@@H](C)[N+]12CCCC2,3.8365889,0.4908537,5.655165,7.907155,-2.7261052,-2.0539658,-1.972308,1.5599517,1.7868133,4.699732,2.0184925,0.6642564,-7.554728,5.1243925,4.026096,-0.085898995,-2.9301567,-0.055626452,5.6739483,-3.7883754,9.380558,-2.447858,-1.6353872,-3.8711455,-0.4137271,-1.2938806,3.7289164,-1.0070667,-4.938578,-0.3149463,-4.9021645,3.6100256,1.7805321,12.9826,-2.1218066,-2.8561609,4.601758,1.3326181,8.263447,-10.045401,-1.9221792,-6.373354,2.5882094,-5.7754602,-8.338404,5.9575267,2.6504452,-6.4520473,2.2921872,-4.7908006,7.11601,-4.826512,5.2477803,0.82222664,3.9752986,1.5682861,2.147461,-1.0314875,5.435227,-10.678356,1.5840468,-0.35383308,7.6144066,-0.486256,1.8190172149460984,-4.170205767145858,-5.643854,-11.674211,0.1390117192811827,6.862729698069506,7.208980464418081,1,369.7844145669045,168.30399999999997,0.5237430526670426,0.707713198040061,0.0,407.7167726516362,550.9314912936823,778.4671712044083,0.4341820734926266,189.7160000000001
C[C@H]1CCC[C@@H](C)[N+]12Cc1ccccc1C2,-2.275071,-5.449351,4.1720343,9.130459,1.0375484,-2.736561,-5.2251177,-2.2770097,1.5230567,0.18158539,-1.5340521,-2.0692399,-5.420085,8.480763,-1.4671255,-2.1859946,2.1505518,-5.4379106,3.1117258,-0.16652726,5.072832,0.9200747,-0.8404936,3.8108888,5.507149,-4.311899,-2.471628,0.51855594,-4.4388547,3.5019808,2.2455525,1.5909605,0.7692662,1.6618553,3.954014,0.5813287,4.5612817,-5.099847,-5.0209656,-0.45400232,-4.564716,-4.265161,0.27274537,-3.3933184,-4.6521087,3.10117,3.9673157,-10.093455,-9.102647,-9.355985,0.6282779,2.4946127,-3.115414,-2.560311,-1.3500395,-1.7315928,7.2598147,-6.6024027,7.2323785,1.9682138,2.9030266,3.129382,1.8205595,-2.062424,-2.9590484118819567,-2.507362966889288,-11.677007,0.09608616,0.3354258392736658,6.8621409311567865,9.56106674688819,1,434.1483312982105,216.348,0.3152098935601762,0.9085710811180694,0.0,479.9888164589586,1383.535119945221,1522.759362143323,0.4275179123675634,228.16000000000005
C[C@H]1CCC[C@@H](C)[NH2+]1,7.6078434,-7.9041853,3.071807,6.734464,-1.262897,-1.9898007,3.4092062,4.1174006,-2.8669534,2.3309925,3.9625857,0.12116657,-4.581299,4.0432887,0.7901863,-8.170008,-5.9915814,-3.704785,4.5117025,-0.27653652,1.3644294,-5.458547,1.7606483,-6.7343683,1.9105971,3.4572117,0.2631541,-6.441584,2.3716793,-6.5930953,-2.5505729,4.183319,0.310403,9.684303,-1.2234747,-3.325415,1.3613356,0.05018805,13.205882,-12.517105,-2.7491477,7.222775,-1.481308,-2.539013,0.88274896,2.9312165,-5.9439187,-2.0920594,1.2713625,-6.2764363,4.601525,-2.0280597,-4.282918,0.57850796,-4.1845164,1.0943749,-1.4293247,4.6092834,-8.032909,-2.6002116,-7.505997,-4.3770623,3.0065694,-1.4338546,-0.7027490788021431,-0.8129014087531512,-1.8457956,-9.55069,0.2485078809078604,4.978346671070411,6.776848602800359,1,319.0317103281161,114.212,0.3996748909755113,0.6868017519318365,0.0,176.05331023450088,302.530192995944,440.49129482414224,0.2992829216854271,132.76000000000002
C[C@H]1CC[C@@H](C)C[NH2+]1,4.418264,-6.3320518,0.6741535,5.623503,-8.968211,-6.076149,0.31352365,5.518365,-2.0620704,-2.7737184,10.916997,-2.3516424,-4.361725,4.106332,5.604786,-13.767236,-5.5198,0.12217075,5.9575396,-2.9984522,1.694097,-8.190577,-1.9208794,-6.7341757,3.1065133,6.547925,0.21596423,-10.368383,0.8232664,-8.271666,-0.17762929,7.2419314,4.875299,7.8601675,-1.5667303,-3.2449956,-1.2719029,4.813677,7.2950363,-12.461859,-2.6321688,7.804459,-2.1728396,-2.7096133,1.9772022,2.7612429,-10.787373,-2.6674707,2.2737167,-8.072029,-0.32807395,-2.2044177,-3.707367,0.051512346,-9.174787,4.78041,-0.77945817,5.2385397,-9.431977,2.060471,-12.419818,-2.5327709,6.12233,3.638206,-0.3105798066685355,0.2845111536754148,-0.7685145,-9.444284,0.2344658801115171,4.24380120417705,6.525065200079542,1,312.63606295560584,114.212,0.3980035577872002,0.8758052418694138,0.0,153.7801665344444,338.39264325980645,386.3788740719392,0.5184858468123836,132.68000000000004
C[C@H]1C[C@@H](C)C[N+](C)(C)C1,5.8508186,-2.7326202,5.638169,7.689755,-1.926633,-2.20518,2.16544,2.442528,-0.99343234,6.7800965,1.1923883,2.1837804,-7.3953066,4.784366,1.571761,-5.74636,-6.8025227,0.0730212,7.4687176,0.3409086,5.235444,-8.595461,-1.7347581,-4.567912,3.234107,0.58760405,0.6134424,-2.2064846,-2.2979379,-2.7731209,-2.2428696,2.0559273,2.5978844,14.434193,-4.9076276,-4.793532,7.3504453,1.165329,10.651631,-9.791296,0.7971901,-1.2577586,1.1707139,-4.1255293,-3.233039,7.3144298,2.6563516,-5.4328837,3.5260065,-4.043663,4.7973113,-6.7028227,2.1439164,-2.3615587,-0.61006093,2.4929698,-0.12752461,1.3301916,-2.1837938,-7.534747,-0.5438794,-1.5553784,4.805048,-1.8901359,1.958848813087484,-2.9120259053302053,-4.4243755,-11.672735,0.129801284782577,5.790118165503045,6.842881273547864,1,357.9169736002951,142.26599999999996,0.5729658973729196,0.638424036158705,0.0,364.20062667423673,405.80850469254455,635.6410186798178,0.4264238127895569,166.89066666666668
C[C@H]1C[C@H](C)C[N+](C)(C)C1,7.060879,-3.2981641,6.2901363,1.6570127,-3.7338881,-4.314366,0.4068861,1.2621949,1.3195794,4.4542985,1.5933075,0.631409,-5.3791924,3.760202,1.7277037,-4.9859543,-3.3744586,3.1384494,9.117771,-0.8992525,3.9987698,-7.611479,0.15516514,-3.2453125,2.9220555,1.8609858,4.3973517,-3.7507637,-4.1502094,-2.899804,-4.55945,5.2442603,1.1180856,13.8660145,-3.235386,-4.1115093,5.126188,0.9146223,12.035494,-12.083809,-2.87064,-1.4647427,1.8954927,-4.722748,-5.465026,7.1300607,-1.4425912,-5.6532416,0.9594946,-5.685214,4.2876325,-5.8902693,1.8511667,-1.5367919,-1.6706936,3.0693417,0.93783903,1.6850624,0.07217196,-8.553534,0.36258477,-2.5733716,4.69748,-2.9095492,1.1872314765036596,-3.773359542575611,-4.606329,-11.042824,0.1177586538545601,5.674996743885486,6.676585668486704,1,354.84142420341817,142.26599999999996,0.5705271543392434,0.6846683427866915,0.0,345.2032031072439,413.5769381315947,605.1344384130587,0.4716640967320326,167.07400000000004
C[C@]12CCCC[C@@H]1[C@H]1CCCC3CCC[C@@H](C2)[C@H]31,-3.0229619,-4.6707444,0.36565807,6.237986,-0.76471794,-0.84250355,-0.18493988,0.027970865,-9.111004,8.176397,9.085464,-2.3240786,3.4433937,2.225185,1.5764031,-6.017554,9.379341,-0.40337723,5.456702,12.799995,4.8381505,-10.7909975,-9.073607,-6.1903267,1.9494517,-0.9024415,3.9622252,-0.027568674,-3.5957026,7.086052,4.33318,-4.8945756,5.3145943,10.798057,-3.4168527,2.345975,3.7794795,1.8641222,-2.807257,1.433806,-8.779436,-1.4232435,-3.0241337,-4.0693645,-3.1440272,8.162764,6.1109858,0.7433811,8.860429,-1.8466028,-5.8671927,1.8312142,0.9451526,-3.4472072,-5.355989,-1.4370254,-1.4117438,-1.8301127,-1.0200025,-12.960455,2.407981,2.8289278,6.9430003,2.1275895,3.028671368181426,2.464394127625251,8.535325,-9.676645,0.2020597751213238,7.232435733824445,8.423074588492462,0,459.5836208348122,246.438,0.4329687271624671,0.7607844619288686,0.0,790.3618712259135,1388.7724290629203,1825.447940329737,0.3839504853709133,268.3760000000001
C[N+](C)(C)C,-4.5359454,-1.2432371,-6.4523125,2.886284,-2.6415184,0.9970801,0.0037196726,0.36251527,3.1484594,-1.7388455,-1.3463418,-2.2005284,2.099913,2.517381,10.274057,7.245681,-9.740112,-1.6083637,1.0756211,1.5109447,-2.2059011,1.123506,-2.4956777,-6.0903816,-5.3575735,-2.290048,6.8850856,-2.5457728,0.56796014,-4.5535455,-0.26471704,2.5416377,1.1106124,-2.1271057,-3.7452412,-2.0844162,-0.22995596,0.20222436,2.2853336,-5.55424,-1.8018868,1.2143686,-3.0060213,-2.4177375,2.4024935,-3.9025095,-5.158202,6.0292573,2.557776,-8.398637,0.41085264,1.0087198,8.897073,5.907013,-0.5326749,2.0166054,-2.754209,3.3644402,-2.0689452,3.033945,1.4128969,4.617942,0.37536976,0.073446065,0.31210394542708014,0.35348400921452544,-14.573004,-1.5652798,1.4086562716203803e-10,3.941782929268992,4.062988484659983,1,255.0537655939654,74.14699999999999,0.9999796525235518,0.999992361394784,0.0,111.0230877861853,111.0244987930222,111.02534687181593,0.9999877790605518,94.55200000000002
