model,run1,run2,run3
random,1.6781723334221952,,
amd,0.5657629292176523,0.5706504605335452,0.5363416151650928
nn,0.5313331248786515,,
bnn,0.7153681909654234,0.7300045523451754,0.6940894004255543
gmm,1.2563876302417882,1.2609990320437858,1.265709437062756
gan,0.6462169898391549,0.6487537772623313,0.6515267371358519
nf,0.5798141225301199,0.592051854485812,0.5906526745048145
cvae,0.53038509912625,0.593695537904881,0.5945358202812238
diff,0.4237286751052486,,

