PCA 1,PCA 2
-0.355471709067246,-0.2531079285493693
-0.14457237972680637,-0.5808813040781464
-0.3099351222138344,-0.2075726544973078
-0.26032814986379565,-0.28465577695205524
-0.08022926919370561,0.34555524402722027
-0.19567351793972293,0.20651337180977392
0.20107952355288067,-0.8266665445552752
-0.16600847665461346,-0.37117256768866813
-0.23974877535728548,-0.28039576288260454
-0.2568744000242197,-0.26086922607977275
-0.2696782240408637,-0.25546402656405887
-0.20445233940391846,-0.41790050014738855
-0.16544885003604134,-0.4397930217659844
-0.33761020838588973,-0.44770395797031465
-0.3071313747981926,-0.4815177839917323
-0.2614131884467062,-0.5322384228281308
-0.2891297652589162,-0.49089507952829636
-0.2586509934886968,-0.5247088258189597
-0.21293278811644797,-0.5754294891878979
-0.16792875720912742,-0.5988727518636853
-0.13744989984547734,-0.6326866085507775
-0.09173176104589688,-0.6834071860558265
-0.3315658092532785,-0.4466601287755731
-0.3010869759858262,-0.48047395315525543
-0.255368789314095,-0.5311945936333892
-0.2830853661263049,-0.4898512503335546
-0.25260659435608535,-0.5236649966242183
-0.20688838898383666,-0.5743856599931567
-0.16188435807651616,-0.5978289226689437
-0.13140550071286597,-0.6316427793560361
-0.0856873619132856,-0.6823633568610852
-0.3205436710148434,-0.4447566757723322
-0.2900648360708197,-0.47857050155952086
-0.24434664971933318,-0.5292911403959193
-0.2720632265315431,-0.4879477970960848
-0.24158445508156867,-0.5217615417450131
-0.19586624938907496,-0.5724822067556866
-0.1508622184817544,-0.5959254694314737
-0.12038336143834917,-0.6297393244768308
-0.07466522231852386,-0.6804599036236153
-0.16792875720912742,-0.5988727518636853
-0.08814987851320634,-0.7017697059652909
-0.008371037858809924,-0.8046666110018174
-0.17151063974181807,-0.5805102319542208
-0.09173176104589688,-0.6834071860558265
-0.011952920391500468,-0.7863040910923531
-0.16188435807651616,-0.5978289226689437
-0.08210547938059504,-0.7007258767705498
-0.0023266387261986167,-0.8036227818070757
-0.16546624060920676,-0.5794664027594794
-0.0856873619132856,-0.6823633568610852
-0.005908521258889184,-0.7852602618976117
-0.1508622184817544,-0.5959254694314737
-0.07108333978583328,-0.6988224235330797
0.008695500868563164,-0.8017193285696058
-0.15444410101444495,-0.5775629495220096
-0.07466522231852386,-0.6804599036236153
0.005113618335872562,-0.7833568086601416
-0.16936150870637778,-0.5915277516707808
-0.17151063974181807,-0.5805102319542208
-0.16331710957376652,-0.5904839224760392
-0.16546624060920676,-0.5794664027594794
-0.09445841790606374,-0.14978536605528547
-0.32073357406599606,-0.15084433708107908
0.03949463540923877,0.24918109865456073
0.04961716642228051,-0.08662633055923079
0.04723913565950691,-0.08751227624868037
-0.19142156354561168,-0.5682470795232646
-0.20424342703186008,-0.14289093566750502
-0.20458079144833424,-0.13169741861157938
-0.1618783811124668,-0.5401524502518805
-0.13233511278361637,-0.5120579265047054
-0.14355424702723782,-0.6299852381846743
-0.15637598733104083,-0.20462925320678615
-0.15671354787755618,-0.19343548318686596
-0.11401094141164754,-0.6018907677911619
-0.0844678692128383,-0.5737959910799919
-0.11962059055124735,-0.6608543152154537
-0.13244239646517608,-0.23549824561514157
-0.13277982147797407,-0.224304650403478
-0.09007735054578285,-0.6327597601995172
-0.06053414281325611,-0.6046651582966039
-0.2826895680692947,-0.43188686743865046
-0.29551141243731716,-0.006530744962158954
-0.2958488270755156,0.0046628278180118
-0.2531463665179238,-0.4037922595465348
-0.2236031484107978,-0.37569768007511417
-0.24758687447231162,-0.477161510438567
-0.2604086907640348,-0.05180542417423773
-0.26074614223600856,-0.040611803886714835
-0.21804364484464156,-0.4490669387586134
-0.18850046357129074,-0.42097231177984074
-0.23003552636614266,-0.49979883362513755
-0.24285734906703568,-0.07444273909440897
-0.24319475844609675,-0.06324917309735219
-0.2004923031476425,-0.47170425367878466
-0.17094907978137894,-0.44360968099047804
-0.3055065714084117,-0.3977968114825943
-0.31832840551082764,0.027559297399073028
-0.31866582063319027,0.03875287841784589
-0.27596335959143437,-0.36970221718530266
-0.2464201419684725,-0.3416076294752802
-0.27359503181801975,-0.43895557779039945
-0.28641686102372144,-0.013599475224400673
-0.28675427576885965,-0.0024058946921632998
-0.24405181510432825,-0.41086098980877633
-0.21450859710414186,-0.38276640258528916
-0.25763926083402616,-0.45953496247758563
-0.2704610900284059,-0.03417885992618951
-0.27079850333669425,-0.022985281247167852
-0.2280960441090127,-0.43144037451056516
-0.1985528246719765,-0.40334578914029384
-0.1604117798301152,-0.18788414807513248
0.06924561589531275,-0.4592370609012359
-0.134403768086032,-0.36976575373747417
-0.13124737670243877,-0.3701345794321324
-0.12250306979529217,-0.36962149046163484
-0.1336578150363168,-0.48153233858794137
-0.12929024925054752,-0.4806950047842132
-0.11933476832624657,-0.4789757566987566
-0.13309835024903027,-0.5653572772257919
-0.1290335777750389,-0.5648214830090896
-0.1199864767860713,-0.5640068536847114
-0.13722983899595803,-0.3725801232163841
-0.1359911374318926,-0.3748586984785917
-0.12603565650759166,-0.3731394503931353
-0.1344652638677242,-0.4823364441533441
-0.13272190678402915,-0.4841124534371751
-0.1233720140233702,-0.4829962860594805
-0.13420859239221553,-0.5664629223782206
-0.13034568212607597,-0.5661281545528694
-0.12039020120177504,-0.5644089064674126
-0.141267082382952,-0.3766006502765433
-0.1363948587674235,-0.37526074819387384
-0.12300772338981376,-0.37012405452287445
-0.1356764365373029,-0.48354260192630744
-0.13070328374295653,-0.48210218856509957
-0.12276642585972819,-0.48239320535171865
-0.13350207437596784,-0.5657593297209226
-0.1304466122674479,-0.5662286667899761
-0.12160137348633214,-0.5656150638569482
-0.1381382173912049,-0.3734847404437526
-0.13387158270936164,-0.3727479198356997
-0.12391610178506074,-0.37102867175024296
-0.1344652638677242,-0.4823364441533441
-0.13080421580943652,-0.48220270271934357
-0.123069219171506,-0.48269474493874465
-0.13360300576865997,-0.5658598432041686
-0.13125406167638776,-0.5670327729305201
-0.12049113134314691,-0.5645094187045195
-0.1351102854284919,-0.37046934572377416
-0.13356879055264867,-0.3724463813989559
-0.12452168648350823,-0.3716317490071582
-0.13779598875719343,-0.4856533780769214
-0.13352935407535016,-0.4849165574688684
-0.12448225231633935,-0.4841019273776352
-0.13390579917669315,-0.5661613828870514
-0.13438292628311313,-0.5701486823798835
-0.12442744535881221,-0.5684294342944268
-0.13400004367032822,-0.36936370095477256
-0.13074272002774426,-0.36963201230347326
-0.12462262066760707,-0.3717322652702528
-0.13345595282846487,-0.4813313121965906
-0.12969397395501747,-0.4810970578544851
-0.12327108099433626,-0.4828957709466681
-0.13309835024903027,-0.5653572772257919
-0.12913450887896483,-0.5649219962047649
-0.12028926971282751,-0.5643083928883098
-0.09692261426299635,-0.5608397516613474
-0.09407819114176752,-0.5603485379226454
-0.08696713333869541,-0.5591205035758908
-0.1722074582420542,-0.4131408253928188
-0.16936303579898868,-0.4126496117712313
-0.1622519035882617,-0.4114215864509955
-0.21737836375866781,-0.32452147056069863
-0.2145339417154361,-0.32403025700815996
-0.2074228833521729,-0.3228022225646637
-0.10661553212645468,-0.6987453536757372
-0.10448221795594577,-0.6983769439192207
-0.10163779341057473,-0.6978857299345785
-0.09452673798107424,-0.6966576959977244
-0.1797669110122562,-0.5506782661287016
-0.1769224872128641,-0.5501870522728849
-0.1698114300879553,-0.5489590180432448
-0.2550517574602665,-0.4029793395573371
-0.25220733501720105,-0.4024881259357496
-0.2450962768750472,-0.4012600915304376
-0.30022265873851184,-0.31435998524508507
-0.29737824854625183,-0.3138687702389344
-0.2902671901829886,-0.31264073579543805
-0.09692261426299635,-0.5608397516613474
-0.09407819114176752,-0.5603485379226454
-0.08696713333869541,-0.5591205035758908
-0.1722074582420542,-0.4131408253928188
-0.16936303579898868,-0.4126496117712313
-0.1622519035882617,-0.4114215864509955
-0.21737836375866781,-0.32452147056069863
-0.2145339417154361,-0.32403025700815996
-0.2074228833521729,-0.3228022225646637
-0.1797669110122562,-0.5506782661287016
-0.1769224872128641,-0.5501870522728849
-0.1698114300879553,-0.5489590180432448
-0.2550517574602665,-0.4029793395573371
-0.25220733501720105,-0.4024881259357496
-0.2450962768750472,-0.4012600915304376
-0.30022265873851184,-0.31435998524508507
-0.29737824854625183,-0.3138687702389344
-0.2902671901829886,-0.31264073579543805
-0.20125079561000264,-0.17859018655397466
-0.19099925710864818,-0.17401225067720605
-0.14707461413913356,-0.13878152981046146
0.043313617123587854,-0.970514177945517
-0.11796797023317543,0.4484933285606114
-0.11729312986972032,0.4261061353608263
-0.1277435942244508,0.4496923834824075
-0.12706877020456828,0.42730524467468767
-0.1393719316197027,0.5068797407050988
-0.13903457817842707,0.49568612095522013
-0.13876459835407137,0.48673127487086015
-0.1384947850833289,0.4777762485564376
-0.13835979585854977,0.47329885258963567
-0.1382248325241979,0.46882141005614597
-0.1379548387985238,0.45986665342189176
-0.13768491091018514,0.4509117618782828
-0.13741499956154724,0.44195695530028534
-0.13701008756216637,0.4285245707655708
-0.14914756718855335,0.5080787970469727
-0.14881020880634457,0.496885122518578
-0.14854022430408131,0.48793033003291
-0.14827041102867414,0.47897530371791514
-0.14813541936259422,0.47449790745166903
-0.14800046262682967,0.4700204657275465
-0.14773046760932562,0.4610657089348396
-0.14746053740127482,0.45211081710670015
-0.14719062647800135,0.44315601058087684
-0.14678571515415054,0.42972362612902143
-0.14611085568893048,0.40733650750999933
-0.1589231887255243,0.5092778516677295
-0.15858583536091256,0.4980841777547817
-0.15831585151428573,0.4891293853495323
-0.15804604074358067,0.48017435934175823
-0.15791104412168955,0.4756969624676441
-0.15777608520687192,0.471219520476244
-0.157506093916884,0.4622647641407453
-0.15723616264245735,0.4533098721818069
-0.13182072490481528,0.5254392581164532
-0.13893178860280997,0.524211222751683
-0.14220287229401204,0.5236463274526784
-0.14419396857739675,0.5233024803656419
-0.14604284651742783,0.5229831883856649
-0.14632728856921204,0.5229340696038229
-0.1480339445842014,0.5226393384435792
-0.14888727026161266,0.5224919745393826
-0.1495983711372042,0.5223691719517203
-0.1510205844551408,0.5221235647788908
-0.14470208871952617,0.5316498784113457
-0.15315390443204574,0.5217551540196469
-0.15813164236975868,0.5208955304128727
-0.15315390443204574,0.5217551540196469
-0.14590355893092546,0.5095555001267181
-0.15925046349303798,0.5029964630031326
-0.14267344108190086,0.5016141439172341
-0.1489893346236382,0.5049980819826558
-0.17587611770495143,0.482430074146593
-0.16110541930513483,0.44861613721265076
-0.16346403627601314,0.37284200804210327
-0.16333974856448044,0.5036672747994366
-0.16311814679740302,0.49127543478631885
-0.16300396438487325,0.4824463175647093
-0.21894539464301369,0.3610720847055766
-0.17698495725291,0.4395425278606776
-0.21839233140410647,0.3326419140286271
-0.30615951774791683,0.21975455832895255
-0.30686603547539837,0.21905096595922496
-0.3071688285946651,0.21874942656391264
-0.30726975989110183,0.21864891317652357
-0.3073706906100064,0.21854840036427572
-0.3088846590940033,0.21704070051200824
-0.30686603547539837,0.21905096595922496
-0.3073706906100064,0.21854840036427572
-0.3088846590940033,0.21704070051200824
-0.30686603547539837,0.21905096595922496
-0.30757255224032576,0.21834737454806608
-0.3066949211583925,0.1629666471426407
-0.3074014379233199,0.16226305573148173
-0.3066949211583925,0.1629666471426407
-0.3074014379233199,0.16226305573148173
-0.3066949211583925,0.1629666471426407
-0.3074014379233199,0.16226305573148173
-0.30615951774791683,0.21975455832895255
-0.30615951774791683,0.21975455832895255
-0.30615951774791683,0.21975455832895255
-0.2881578992191129,0.2103772351400216
-0.2881578992191129,0.2103772351400216
-0.2881578992191129,0.2103772351400216
0.17527678111211792,-0.9862533655627863
-0.2412488395318091,-0.009539970668087292
-0.018685845851966018,-0.36762572760656476
-0.018685845851966018,-0.36762572760656476
-0.018685845851966018,-0.36762572760656476
-0.018685845851966018,-0.36762572760656476
-0.018685845851966018,-0.36762572760656476
-0.018685845851966018,-0.36762572760656476
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.060107809950199424,-0.3625452257732909
-0.06019187860710474,-0.3597674222957789
-0.060107809950199424,-0.3625452257732909
