,Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time
random,171.7660967653031,0.6570696349433776,44.06855249412078,112.52755904174033,0.8562227452721888,2.649949642795048,1.0662089489694753,0.5379416307684601,76.77276295302347,2.6889570350839693,201.34609059293265,7004.538265926274
gmm,21.15296811488066,0.25209484150593864,1.2988340281258963,7.604082761360307,0.21379874692984394,0.39011798651124047,0.31738970231638897,0.2146391612670057,30.982579291339636,0.8384921427685578,56.316191767522746,1502.0389817130354
bnn,28.5412436845097,0.8158740624279016,3.2103262742360434,25.0,0.11362505981227185,0.05308593368225236,0.1951758948366121,0.11121192166630918,29.705041298926897,0.5030022107094151,26.20500054086993,252.83432157843677
amd,20.745098333427364,0.23993235061742813,1.0439891372295376,1.8487204415015492,0.13548371743411242,0.04213866018722371,0.17729739742391507,0.10798736902213275,26.118262353665994,0.46698744206146475,17.108945524630673,166.95173022454173
gan,27.277918285880947,0.798657152670509,1.3089843902360259,8.112747939748944,0.10902889588564853,0.03874899689222358,0.18309671307092376,0.10460937462036086,29.173462284765606,0.48049984365444226,16.421187417908808,174.9608473742521
nf,17.831760977597717,0.1806998312558338,1.1121467326863763,7.1951882596050565,0.08893722467087932,0.05893776236168551,0.1362928893292832,0.10627778862819788,24.56740258726016,0.4607063326108061,26.846906899165333,766.486660239855
cvae,19.160946617045937,0.12218274004089998,1.2539145244810477,6.826717812979837,0.09607003189891448,0.16101171557616326,0.15229458640882698,0.11626262495393995,24.637243304411545,0.47166486184870643,15.67705324978381,145.70277013309314
diff,13.768967511196825,0.09879459388929758,0.8291966774467813,5.605146513817564,0.08689593817117947,0.035726465600312896,0.12259285446444217,0.09178545414502137,24.460339398054614,0.40155267093582975,14.33937297802083,152.44763328337902
