zeo,WSD
CHA,0.49478950679708156
AEL,0.17657129374274683
MFI,0.28063085215424366
LTA,0.46223299060345036
AFI,0.2779752545722072
IWR,0.576951689607837
BEA,0.40954281309951224
MTW,0.6812576862324768
MEL,0.48753258607352334
LEV,0.7460145448104656
FAU,0.0728275939269718
BEC,0.7210846959213972
FER,0.6895522556248821
ATO,0.1452264625975973
MWW,0.8456019505103949
IMF,0.5367714741466671
AEN,0.667600160475267
STF,0.4450939761807724
MAZ,0.2698414213955825
AEI,0.8695352182365275
GIS,0.6516145771856705
TON,1.0312476928517729
ITE,1.0028037669722887
NON,0.827382079827857
MOR,0.7449587783972815
AST,0.48401954194835994
PHI,0.45200143255792924
SAV,0.6224753216690593
UOV,1.2219455042899434
ITT,0.4836649168002436
MTT,0.5215934192348103
ITG,0.5244992428153352
CON,0.9373013965978886
NSI,1.1727937752526068
ERI,0.47957788226856857
MTN,0.9769013627495081
MRE,1.0687804504865484
AFR,0.3944723414895689
SWY,0.5705161384416192
LAU,0.5437689271157309
DDR,0.5879790543940928
AFX,0.42650255917064245
UFI,1.255474635293899
ISV,1.0438629896491198
ANA,0.5643153756452097
CLO,0.43130438301688334
OFF,1.0383068712005175
STI,1.3089536977130987
CTH,1.0592048895326922
SFS,1.280862695465947
AWO,0.2791680587704056
DOH,0.9788934371610372
SOD,1.7700231909472615
STW,1.6144000624943604
UOZ,0.40096325706368835
MEI,0.9963461572660136
ETL,0.8379627507670724
AVE,0.19150171198005067
SZR,0.3884652278830617
JST,1.0282974836763383
IFR,0.8777598374536698
IFW,1.3511242037143119
CGS,1.548788844949122
PWN,0.4526295715267058
ATS,0.3755033721115555
RTH,1.1038945030160865
EUO,0.9633825584846902
EMT,1.0312652267885394
BPH,0.20828264983268896
AWW,0.47555244970816124
ASV,0.6733144988422191
IHW,0.7385047567436898
RWY,0.9774811838746804
LTJ,0.7040932201198855
SFH,1.3949076482992546
NES,0.6065876098034476
IRR,0.9834137458354176
TUN,0.7153797834589788
IWV,0.7717855259309917
EON,0.9118918010935277
STO,0.6140504255283259
ITW,0.8690028737232198
SFW,1.175782442105588
IFU,1.0178045034540206
VFI,0.7099568481596996
EEI,0.28445655719550844
SFG,1.195565927503024
LOS,1.770939923281125
SFV,0.7136553094915669
IFO,1.1984093208851885
RTE,0.8470946503594876
MER,0.7900004617853911
AFN,0.4554160069868637
APC,0.7755672667054341
SFN,1.3423538494542437
SSY,1.2305290503309803
PUN,0.41411209322132325
LTL,1.2732861463580112
UOS,1.1632264962276424
CGF,1.876116401828272
AHT,0.30894412778313474
VET,1.2773254514370358
ABW,0.343612868796106
PWW,0.5750388766514412
