zeo,osda,MMD
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.533339500427246
AVE,C1CC[N+]2(CC1)CCCC2,1.9695487022399902
MWW,CCCCCC[N+](C)(C)C,3.8960390090942383
STW,CCc1n(C)cc(C)[n+]1C,3.6110715866088867
FER,CCCCN,0.6273899078369141
TON,CC(N)CN,3.22872257232666
ETL,C[N+](C)(C)CCO,2.8707709312438965
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.4763250350952148
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.780034065246582
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,1.3546009063720703
MEI,CN(CCO)CCO,3.8709793090820312
AEL,CCNCC,2.216824531555176
CHA,NCCNCCN,1.2735824584960938
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,2.0022573471069336
AEL,CCCCNCCCC,1.362525463104248
MFI,CCCNCCC,2.3171868324279785
GIS,C[N+](C)(C)C,1.087531566619873
FER,NC1CCCCC1,2.7228760719299316
SOD,C1CCC2(C1)CCC[NH2+]2,1.6923904418945312
DOH,CC1CNCCN1,3.4232397079467773
TON,CCC(C)N,2.8632421493530273
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.539018154144287
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,2.502603530883789
AFI,Fc1cccc(CN2CCCC2)c1,1.7154979705810547
AFI,CN1C2CCC1CC(O)C2,2.7474679946899414
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,1.0882196426391602
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,2.9089956283569336
AWO,CNC,2.444044589996338
JST,NCCN,1.3514156341552734
MFI,CN(C)CC(C)(C)CN(C)C,3.667963981628418
STF,CC[N+]1(C)C2CCCC1CCC2,1.42897367477417
PWN,C[N+]12CC[N+](C)(CC1)CC2,3.9531755447387695
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,2.143819808959961
AEN,C[N+](C)(C)C,3.8588485717773438
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,3.4194540977478027
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,3.61891508102417
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,2.2854385375976562
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.7203130722045898
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.6694269180297852
MOR,CN(C)CCCN(C)C,3.64200496673584
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,3.0077505111694336
CGS,C1CN2CCC1CC2,3.9255619049072266
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,1.0583109855651855
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,3.898130416870117
LAU,Cn1ccnc1,2.084061622619629
EMT,CC[N+](CC)(CC)CC,0.8741850852966309
TON,CCn1cc[n+](CC)c1,2.6899681091308594
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,2.995187282562256
SAV,C1CNCCNCCCNCCNC1,1.3344955444335938
DDR,C1CN2CCC1CC2,3.393035888671875
BEA,C[N+](C)(C)Cc1ccccc1,3.0505919456481934
MEL,CCCN,2.4069080352783203
MTW,N[C@H]1CC[C@H](N)CC1,3.324550151824951
ATS,CCCNCCC,3.2663440704345703
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,2.814880847930908
AFI,C1CN2CCN1CC2,1.5519914627075195
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,3.1901726722717285
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.5116124153137207
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,3.814342975616455
MTW,NCC1CCNCC1,1.5194478034973145
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,3.686558246612549
FER,Cn1cc[n+](C)c1,1.9678797721862793
AEL,CCN1C=CN(C)C1C(=O)[O-],1.9947309494018555
AEN,OSDA-free,2.0129623413085938
MTW,C[N+]1(C2CCCCC2)CCCC1,1.2119736671447754
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,3.880516529083252
GIS,NCCN,1.8773632049560547
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,2.181151866912842
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,1.104419231414795
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,3.5209546089172363
BEA,CCC[N+]1(C)CCCC1,3.893798828125
LTJ,OSDA-free,3.0255441665649414
MFI,CN(C)CCCCCCN(C)C,1.0528512001037598
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.670753002166748
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,0.5311703681945801
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,3.572767734527588
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,3.572342872619629
BEC,C[N+]12CCN(CC1)CC2,3.8885788917541504
MFI,CCCC[N+]1(C)CCCC1,2.8216590881347656
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,1.8368988037109375
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,1.1826014518737793
RTH,CN1CCCCC1,1.2260961532592773
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.553767204284668
RWY,NCCN(CCN)CCN,3.986757278442383
MFI,CCCCC[N+]12CCC(CC1)CC2,3.5255627632141113
NON,C[N+](C)(C)C1CCCC1,1.3684000968933105
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,2.832329273223877
MOR,C1CCC[N+]2(CC1)CCCCC2,3.1103382110595703
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,1.4892363548278809
NON,CC1CC[N+](C)(C)CC1,3.563570499420166
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,3.51763916015625
ANA,CCCC[N+](CCCC)(CCCC)CCCC,1.0909109115600586
TON,CCC(N)CCCN,1.1279139518737793
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,2.4966368675231934
LEV,CC1CCCCC1N,2.2489051818847656
MFI,C1CCNCC1,3.882256031036377
MTT,CC(C)CNCCCCCCCNCC(C)C,0.3723597526550293
MFI,CCCCO,3.6917428970336914
MFI,CC(C)N(C(C)C)C(C)C,3.846120834350586
MEL,NCCCCCCCN,1.88710355758667
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,2.8741908073425293
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,2.125408172607422
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,3.8627638816833496
MEL,CCCCCCCCN,3.617403984069824
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,2.130453109741211
MOR,C[N+]1(CCCC[N+]2(C)CCCC2)CCCC1,0.978816032409668
MTW,CC1CC(C)C[N+](C)(C)C1,3.6752285957336426
MRE,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,3.006019115447998
MTW,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)Cc1ccc([N+](C)(C)CCCCCC[N+](C)(C)Cc2ccc([N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCC)cc2)cc1,3.837479591369629
MOR,CCC[N+](C)(C)CCC,3.8886895179748535
MOR,CC(C)CN(CCCCCN(CC(C)C)CC(C)C)CC(C)C,2.83907413482666
FAU,C1CCC2(C1)CCC[NH2+]2,3.056931495666504
IRR,Cc1ccc(Cn2cc[n+](C)c2)cc1,4.020914077758789
