zeo,WSD
CHA,0.3378811805223303
AEL,0.5571633656891852
MFI,0.3890417284279595
LTA,0.4497410604061516
AFI,0.6796862534443704
IWR,0.7728295153970284
BEA,0.3663446160349839
MTW,0.4265460510872896
MEL,0.3816016928156525
LEV,0.3799597383517168
FAU,0.5651167137255042
BEC,0.805158166874137
FER,0.5187169965864835
ATO,0.7602859404978748
MWW,0.6402412038999146
IMF,0.6103425141519084
AEN,1.0729120795702443
STF,0.34490698980446244
MAZ,0.5957328780837565
AEI,0.6435424768079906
GIS,0.5783670946360038
TON,0.41220165058776476
ITE,0.5646093871296346
NON,1.017338052687373
MOR,0.6629773306878752
AST,0.8381095978071111
PHI,0.561797138553107
SAV,0.5250322067932958
UOV,1.0953770679657806
ITT,0.8361353283114656
MTT,0.4530355089023783
ITG,0.8355790201682498
CON,0.7430027161186764
NSI,0.49589886333840993
ERI,0.5924534713821814
MTN,0.852046865229017
MRE,0.6064510756719338
AFR,0.6820309617966829
SWY,0.6078818020937976
LAU,0.8183604456450058
DDR,0.45533501868977805
AFX,0.7746269791526301
UFI,0.8750551909879241
ISV,0.7993816575725282
ANA,0.6907040806759899
CLO,1.2957779417601012
OFF,0.7428753394517863
STI,1.122620543272236
CTH,1.1187335877265618
SFS,1.0637769320133073
AWO,1.0620720246102202
DOH,1.4032730853923525
SOD,1.0352261383442587
STW,0.905036070944832
UOZ,0.6997175655462069
MEI,0.6362933261156538
ETL,0.7088679751392861
AVE,0.5642147793910506
SZR,0.6235163002072747
JST,1.7478435110262587
IFR,0.6103610450415416
IFW,1.0839040210918673
CGS,0.7313614978812468
PWN,0.6910822847634315
ATS,1.1525128687278905
RTH,0.8359901158750134
EUO,0.5540573754174786
EMT,0.9628632298998248
BPH,0.5651898237217345
AWW,1.1577458254336128
ASV,0.7189319340037557
IHW,0.7804984125985093
RWY,1.6841013915685958
LTJ,1.6294337223681103
SFH,1.3116419443060778
NES,0.5552171901997554
IRR,1.1091170072922507
TUN,0.6509349405516813
IWV,0.6656939476553565
EON,0.7308648247505023
STO,0.8564969274453813
ITW,0.9519675995728285
SFW,0.6859423647420182
IFU,1.1334947150861925
VFI,1.0606717476884682
EEI,0.6797375946225194
SFG,1.6674997902666524
LOS,1.654407855783555
SFV,0.5831105535264225
IFO,0.9648857815188969
RTE,1.6911498075682143
MER,1.8163758369940743
AFN,1.1269836638610393
APC,0.7015163472364331
SFN,1.1878680648915179
SSY,1.1109618156038845
PUN,1.159322710977838
LTL,0.8672675959183611
UOS,1.088426390034224
CGF,0.846815159257833
AHT,1.1923420212979017
VET,0.876422974559931
ABW,1.2115471518258214
PWW,0.9829347603170899
