zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.956386292834891,0.9345794392523364,1.0,0.9922118380062306,0.9766355140186916,0.8582554517133957,0.9454828660436138,0.940809968847352,0.8894080996884736,0.9096573208722741,0.9672897196261683,0.9392523364485982
AEL,1.0,0.9754098360655737,1.0,1.0,1.0,1.0,1.0,0.9877049180327869,0.889344262295082,0.9959016393442623,0.930327868852459,0.9549180327868853
MFI,0.8491379310344828,1.0,0.9956896551724138,0.9698275862068966,1.0,1.0,0.9827586206896551,0.9827586206896551,1.0,0.9612068965517241,0.9827586206896551,0.9698275862068966
LTA,1.0,0.8106508875739645,0.9408284023668639,1.0,0.893491124260355,1.0,0.7514792899408284,0.9940828402366864,0.9289940828402367,0.5621301775147929,0.9112426035502958,0.9526627218934911
AFI,1.0,0.9661016949152542,1.0,0.9576271186440678,1.0,0.9830508474576272,1.0,1.0,0.9915254237288136,0.9661016949152542,0.9322033898305084,0.940677966101695
IWR,0.9821428571428571,1.0,0.6964285714285714,0.4107142857142857,1.0,1.0,1.0,0.9910714285714286,1.0,1.0,1.0,0.9910714285714286
BEA,0.8623853211009175,1.0,0.9908256880733946,0.9357798165137615,0.981651376146789,0.9724770642201835,0.963302752293578,1.0,0.981651376146789,0.926605504587156,0.981651376146789,0.8623853211009175
MTW,0.9134615384615384,1.0,1.0,0.9038461538461539,0.9038461538461539,1.0,0.9807692307692307,1.0,1.0,0.9326923076923077,1.0,0.8173076923076923
MEL,0.970873786407767,1.0,1.0,0.9611650485436893,0.9902912621359223,1.0,0.9902912621359223,1.0,1.0,1.0,0.8155339805825242,0.8932038834951457
LEV,0.8202247191011236,0.9550561797752809,0.9887640449438202,0.8764044943820225,0.9775280898876404,1.0,0.9662921348314607,1.0,0.9775280898876404,0.9775280898876404,0.8651685393258427,0.9662921348314607
FAU,1.0,0.9864864864864865,1.0,1.0,0.9459459459459459,1.0,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.9459459459459459
BEC,0.9864864864864865,1.0,0.8783783783783784,0.8108108108108109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FER,0.8840579710144928,1.0,1.0,0.9710144927536232,1.0,0.9420289855072463,1.0,0.8840579710144928,0.927536231884058,0.9565217391304348,0.6811594202898551,0.7101449275362319
ATO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,0.42857142857142855,1.0,1.0,0.9682539682539683
