zeo,WSD
CHA,0.15205915834067932
AEL,0.45713466357383736
MFI,0.038208957110989296
LTA,0.27475846119776004
AFI,0.10134846906599596
IWR,0.4813827102864746
BEA,0.12655978936178613
MTW,0.16849731020732864
MEL,0.19261994539049684
LEV,0.05602699951574387
FAU,0.1291663652644917
BEC,0.3602638012541115
FER,0.08957695123195272
ATO,0.18613313784003688
MWW,0.4480240174549551
IMF,0.32987019778689747
AEN,0.2530458232654788
STF,0.4748735119290386
MAZ,0.05366320232666506
AEI,0.6362435131802411
GIS,1.1100361699508994
TON,0.06783654374414935
ITE,0.3453727143815828
NON,0.14205833142149107
MOR,0.09427754978522766
AST,0.28118870231922644
PHI,0.06353823777436897
SAV,1.1814410830501187
UOV,0.5308245910955107
ITT,0.7422000463790233
MTT,0.30510501353092
ITG,0.2978076601555536
CON,0.4489059103722448
NSI,1.3489246189201787
ERI,0.07346026993125598
MTN,0.426951974648505
MRE,0.13582955427091525
AFR,0.12253078729947627
SWY,1.005493142551592
LAU,0.6512121650738408
DDR,0.2827125291581266
AFX,1.1678472118865213
UFI,0.41316746073863375
ISV,0.5379535870612433
ANA,0.151917273526322
CLO,1.034565865312867
OFF,0.12457916818755838
STI,1.4031895256248506
CTH,0.4496921374153704
SFS,0.9156405148375301
AWO,0.07275220805054966
DOH,1.1852825734788857
SOD,0.24737776041536674
STW,0.06449772800144662
UOZ,1.004559057737692
MEI,0.8055447024408144
ETL,0.7900967772479995
AVE,0.9821686730723962
SZR,0.12922567318191927
JST,0.7199251466139454
IFR,0.937384897580915
IFW,0.13730084215302132
CGS,0.6815117652994322
PWN,0.004723319773428044
ATS,0.3632799320967557
RTH,0.19024384899820213
EUO,0.21207423435780615
EMT,1.4731823914577509
BPH,0.5689508773221907
AWW,0.7700855223370435
ASV,0.7745692079554873
IHW,0.5495031735320688
RWY,2.0029047939367812
LTJ,0.9687577706096322
SFH,1.5025762602513204
NES,0.09583642201330145
IRR,0.035966056046694395
TUN,0.06041929161783894
IWV,0.5228700120582768
EON,0.46717710043467686
STO,0.5036294491960794
ITW,1.0214145969470614
SFW,1.2981326911036435
IFU,0.09301295585740083
VFI,0.4288511278442204
EEI,0.7544419321070852
SFG,1.3045473146525366
LOS,2.2049398691099746
SFV,0.9287571865123427
IFO,1.2513329262717805
RTE,1.9807453735540062
MER,1.9319159223438547
AFN,0.4145202612043699
APC,0.9826353095505944
SFN,0.5189672243512746
SSY,0.599309181494003
PUN,1.0274330885537806
LTL,0.6661250178087883
UOS,0.3501173401108777
CGF,1.5347550334327011
AHT,0.18118200922693833
VET,0.09498450405610259
ABW,0.6935917516995866
PWW,0.11707675291679426
