zeo,osda,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,9.304385232813232,40.29823403347241,30.99384880065918,0.25092108362543614,0.25092108362543614,0.0,1.528493049132867,1.528493049132867,0.0,4.446092764388018,4.446092764388018,0.0,0.09566299083481997,0.008642559621227086,0.10430555045604706,0.008293426815877875,0.013347116984884461,0.005053690169006586,0.27086715588880655,0.03131790270494343,0.30218505859375,0.2144367562243033,0.0017545206836175299,0.21619127690792084,15.730656746529672,9.068915244437125,24.799571990966797,0.45638033346444595,0.05981114907949938,0.5161914825439453,13.740481734194987,140.2385679484222,153.9790496826172,747.5072880062004,866.3905506404777,118.88326263427734
AEL,CCCNCCC,0.12204342423575593,0.21430207877057267,0.09225865453481674,0.3055446779829307,0.6549414360421852,0.960486114025116,0.14752716177512382,0.14752716177512382,0.0,0.40342724165905564,0.40342724165905564,0.0,0.00032444952696763195,0.000905415592139738,0.000580966065172106,0.0008459465624454149,0.0008459465624454149,0.0,0.00011786626372925763,0.00011786626372925763,0.0,0.02777469567058855,0.003195544341222708,0.030970240011811256,4.950153393931732,24.569511370472565,29.519664764404297,0.1885015742261914,0.5259868876417187,0.33748531341552734,125.37766886862005,311.0996232143232,185.72195434570312,44.9113678407263,119.91078800674192,74.99942016601562
CHA,OSDA-free,1.0716356547021197,7.861762592063017,8.933398246765137,0.17081812865497067,0.17081812865497067,0.0,1.0372077398876811,1.0372077398876811,0.0,1.3552281791440008,3.491982453512287,2.136754274368286,0.03690002709631718,0.28578622490172184,0.24888619780540466,0.33165653904810255,0.7431794639481575,0.41152292490005493,0.28142412460382027,0.6217538908773188,0.34032976627349854,0.062197537714155725,0.0012877494157232706,0.063485287129879,35.18930509602529,22.643080920820406,57.8323860168457,0.00976076123656227,0.00976076123656227,0.0,84.9978446090604,67.60602196808804,152.60386657714844,111.64865926386821,172.09044698359477,60.44178771972656
MFI,OSDA-free,12.669576384427486,31.24732425033814,43.916900634765625,0.2957013824522291,0.2957013824522291,0.0,1.4924902032258065,1.4924902032258065,0.0,25.900850368490886,4.143758701333333,30.04460906982422,0.029904102792600085,0.2905973737336603,0.3205014765262604,0.026655071186991865,0.026655071186991865,0.0,0.00782387829630432,0.2733817758479828,0.2812056541442871,0.0021618029884552855,0.0021618029884552855,0.0,2.4045250973913284,39.53497629978391,37.13045120239258,0.0204254625022201,0.02830707688180489,0.00788161437958479,37.06099894532062,135.29068562499188,172.3516845703125,156.8576936299817,208.7370996053235,51.8794059753418
CHA,CCN(CC)CC,0.061537005727097915,0.27602175695161574,0.21448475122451782,0.14488582752018464,0.7900690541479062,0.9349548816680908,0.15953097248012824,0.15953097248012824,0.0,0.9993292724222798,0.9993292724222798,0.0,0.0009186623501591384,0.0,0.0009186623501591384,0.0,0.0,0.0,7.547169811320755e-05,7.547169811320755e-05,0.0,0.014131062661561021,0.0023741638313207547,0.016505226492881775,1.1575797463850428,18.96366914763016,17.806089401245117,0.10601333186355766,0.7584413032266253,0.6524279713630676,63.86722339083494,247.24428332735837,183.37705993652344,60.47406885647476,102.11227915310562,41.63821029663086
LTA,C[N+](C)(C)C,2.465371118022248,5.127340064479157,2.661968946456909,0.058668940843340095,0.17261439603448278,0.23128333687782288,0.9342713266312056,0.9342713266312056,0.0,2.139041326511409,2.139041326511409,0.0,0.40222060901962914,0.046807584931023945,0.4490281939506531,0.0,0.0,0.0,0.11735046152446982,1.0794264102396798,0.96207594871521,0.010298626543408693,0.0016578956978260868,0.01195652224123478,30.477112095465564,34.30787630785475,64.78498840332031,0.13409089692305098,1.7085175549202107,1.8426084518432617,42.36458597490811,65.46440114667392,107.82898712158203,443.5801872499868,599.8383964785024,156.25820922851562
MEL,CCCC[N+](CCCC)(CCCC)CCCC,19.98550173410586,45.94785830148867,25.962356567382812,0.09267516147845062,0.09267516147845062,0.0,1.5623350022222224,1.5623350022222224,0.0,1.746565037855075,6.037319010606839,7.783884048461914,0.11624525426762436,0.2398975187434468,0.12365226447582245,0.046787473574979664,0.048279368520481945,0.0014918949455022812,0.09791124763943254,0.18022429046176375,0.2781355381011963,0.06944909341783129,0.06944909341783129,0.0,7.588351990693688,34.93251440334928,42.52086639404297,0.027403715160519426,0.174089741799205,0.20149345695972443,12.669395467903826,134.07080838951805,146.74020385742188,245.1549041071351,312.97076104072886,67.81585693359375
CHA,C1COCCN1,1.4589897544063233,1.6830081493533753,0.224018394947052,0.5939065507185579,0.38111636130689375,0.9750229120254517,0.11505940174101072,0.11505940174101072,0.0,0.7119145716763566,0.7119145716763566,0.0,0.009792373035121947,0.009792373035121947,0.0,0.0014937739263414635,0.0014937739263414635,0.0,0.008184221680975613,0.008184221680975613,0.0,0.03140599784303162,0.08152460810590241,0.05011861026287079,4.441900261868913,23.13898659609743,18.697086334228516,0.49988648093293,1.3157089630419998,0.8158224821090698,66.53938790286293,246.76953621829261,180.2301483154297,743.1425573293417,846.5575048391073,103.41494750976562
ATO,CCCNCCC,0.023850258129575475,0.0231265317025397,0.04697678983211517,0.12994451965461606,0.8718554214083112,1.0017999410629272,0.13512690633491997,0.13512690633491997,0.0,0.302927722392028,0.302927722392028,0.0,2.001955873015873e-05,2.001955873015873e-05,0.0,6.159414285714286e-05,6.159414285714286e-05,0.0,0.0,0.0,0.0,0.02904067002236843,0.0,0.02904067002236843,40.81118921074456,6.928968870310132,47.74015808105469,0.03195437340281165,0.35472223611333215,0.3866766095161438,122.83880663646443,314.58676195873005,191.74795532226562,62.93780093418495,116.12306552158729,53.185264587402344
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1260159708165887,21.798688242545104,20.672672271728516,0.037711618265874484,0.037711618265874484,0.0,6.450331880059478,2.7349584565494083,9.185290336608887,20.01553815930403,2.283925112790698,22.299463272094727,0.0007230298403225806,0.0007230298403225806,0.0,0.0004412005967741936,0.0004412005967741936,0.0,0.15214772877807686,0.03335737826709677,0.18550510704517365,0.0306375096235606,0.16957581838032276,0.20021332800388336,1.6794386835842081,6.90562925060081,5.226190567016602,0.014762243548703785,0.22607591160170973,0.2408381551504135,14.357939865482052,160.56141743432264,174.9193572998047,237.4613226365767,562.6226080369673,325.1612854003906
