zeo,WSD
CHA,0.13722946357808075
AEL,0.19270584940115815
MFI,0.06256845248806953
LTA,0.19124305796518126
AFI,0.09958181615554698
IWR,0.49767819702225713
BEA,0.1100962710980056
MTW,0.07718815613933161
MEL,0.1442199394368162
LEV,0.11243253653334123
FAU,0.1693396626567562
BEC,0.3062522806837143
FER,0.2238565530531188
ATO,0.13243809794238748
MWW,0.4118338757097785
IMF,0.41313604925526637
AEN,0.4294803280073298
STF,0.2839186742519
MAZ,0.07434558311106544
AEI,0.308635355790831
GIS,0.6550923336622314
TON,0.1801127823647586
ITE,0.37432020751731204
NON,0.40602628900988336
MOR,0.21172947106717183
AST,0.45959869147880444
PHI,0.15669919641765517
SAV,0.7956103436464674
UOV,1.1558021211885428
ITT,0.7782045155615914
MTT,0.2952347225838722
ITG,0.6637226842106506
CON,0.48362281419244996
NSI,0.9980087268290173
ERI,0.21835838931349336
MTN,0.37675065845617417
MRE,0.3878329390023725
AFR,0.16067141994874412
SWY,0.2406759377769573
LAU,0.340552097194194
DDR,0.25698526825749324
AFX,0.81147888796945
UFI,0.8300655261089346
ISV,0.3425824154024396
ANA,0.12728213565255983
CLO,0.5577139393965644
OFF,0.3598689867843008
STI,1.2780997076503624
CTH,0.4892952412669721
SFS,0.7005781703291913
AWO,0.16238643832612942
DOH,1.7829435684629447
SOD,0.5632793111730328
STW,0.3522351741457811
UOZ,0.6212589792913101
MEI,0.9735088367017886
ETL,0.5142972214174493
AVE,0.7937641057266511
SZR,0.37432559603807514
JST,1.192930783369535
IFR,0.5710673040212911
IFW,0.9845653986789096
CGS,0.7275515318983101
PWN,0.14414827887127815
ATS,0.24308685744798292
RTH,0.8336974526828616
EUO,0.3632138480226863
EMT,1.1653321764839042
BPH,0.39921688745072326
AWW,1.1101697941979787
ASV,0.659082883609571
IHW,0.6893524137854077
RWY,1.5367352509634977
LTJ,1.0065790209736816
SFH,1.2939440378476466
NES,0.297748303678685
IRR,0.2561736416396293
TUN,0.3412476742161644
IWV,0.6393184218150667
EON,0.5424460889575617
STO,0.4054330452354466
ITW,0.5085983849659437
SFW,0.6764486037070039
IFU,0.09970735586089545
VFI,0.8188653116369152
EEI,0.2431240624029838
SFG,1.8438407953852958
LOS,0.6737499988764013
SFV,0.30265730915141664
IFO,0.6417930004685162
RTE,1.8673612199277092
MER,1.8148321703272967
AFN,0.5186971171215609
APC,0.8564171930545554
SFN,0.6881923530142271
SSY,0.6866727476776961
PUN,0.995885781898942
LTL,0.6477436379318215
UOS,0.6605988200272217
CGF,1.3345914048564795
AHT,0.31093682188258964
VET,0.28933970514506074
ABW,0.4506633807701497
PWW,0.7806802389232808
