zeo,MMD
CHA,0.2884645462036133
AEL,0.31691837310791016
MFI,0.27047061920166016
LTA,0.5343427658081055
AFI,0.22066307067871094
IWR,0.7201814651489258
BEA,0.050601959228515625
MTW,0.11279106140136719
MEL,0.09376239776611328
LEV,0.26148033142089844
FAU,0.14048004150390625
BEC,0.4398641586303711
FER,0.1856861114501953
ATO,1.013381004333496
MWW,1.0669398307800293
IMF,0.6283168792724609
AEN,0.3135528564453125
STF,0.18583154678344727
MAZ,0.3948526382446289
AEI,0.5473041534423828
GIS,1.577362060546875
TON,0.3542289733886719
ITE,0.7126216888427734
NON,0.05610370635986328
MOR,0.06029701232910156
AST,0.32341766357421875
PHI,0.7314767837524414
SAV,0.6637496948242188
UOV,2.8901352882385254
ITT,1.4573674201965332
MTT,0.14096832275390625
ITG,1.500831127166748
CON,0.7615928649902344
NSI,2.0753345489501953
ERI,0.29766273498535156
MTN,0.7470059394836426
MRE,0.6287670135498047
AFR,0.3679056167602539
SWY,1.8283271789550781
LAU,0.7339258193969727
DDR,0.4588947296142578
AFX,1.7880558967590332
UFI,3.9048709869384766
ISV,1.406778335571289
ANA,0.2934894561767578
CLO,1.3404617309570312
OFF,1.3951950073242188
STI,3.9901652336120605
CTH,1.6411495208740234
SFS,1.6353979110717773
AWO,0.1394786834716797
DOH,1.490234375
SOD,0.5380244255065918
STW,0.1583881378173828
UOZ,2.5295228958129883
MEI,4.2721848487854
ETL,1.3138647079467773
AVE,3.4538259506225586
SZR,0.37804412841796875
JST,1.385756492614746
IFR,1.4334373474121094
IFW,2.4882774353027344
CGS,2.357837677001953
PWN,0.45635318756103516
ATS,1.52032470703125
RTH,1.0300707817077637
EUO,0.00067138671875
EMT,0.9312376976013184
BPH,0.9433016777038574
AWW,2.5077714920043945
ASV,0.0749368667602539
IHW,1.23431396484375
RWY,4.1172308921813965
LTJ,3.100715160369873
SFH,1.3814849853515625
NES,-1.076075553894043
IRR,1.3081474304199219
TUN,3.1996850967407227
IWV,1.4917974472045898
EON,0.7703113555908203
STO,0.5590505599975586
ITW,-0.49757862091064453
SFW,3.3593387603759766
IFU,2.0341081619262695
VFI,0.9818859100341797
EEI,5.063164234161377
SFG,3.5543084144592285
LOS,4.583817958831787
SFV,4.092892169952393
IFO,4.8692708015441895
RTE,3.605015277862549
MER,4.950300216674805
AFN,2.6362905502319336
APC,4.9384894371032715
SFN,3.3456592559814453
SSY,1.2786121368408203
PUN,5.4998369216918945
LTL,3.7519493103027344
UOS,2.662774085998535
CGF,3.282534599304199
AHT,2.670286178588867
VET,1.431828498840332
ABW,4.6014533042907715
PWW,3.513456344604492
