zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
MWW,CCCCCCC[N+](C)(C)C,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
MFI,CCN,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
TON,NCCCCCCCCN,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
AFR,CCC[N+](CCC)(CCC)CCC,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
AST,c1ccncc1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
STF,CCC1CCCC[N+]12CCCCC2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
CHA,CC(C)NC(C)C,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ITE,NCCNCCNCCNCCNCCN,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
UFI,CC[N+](CC)(CC)CC,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLO,C1CN2CCC1CC2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AFI,[CH]1C=CC=C1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LAU,c1c[nH]cn1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LEV,CC[N+](C)(C)CC,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OFF,C[N+](C)(C)Cc1ccccc1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
FER,NCCCCN,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
STI,CC[N+](CC)(CC)CC,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
MTN,C1CCNC1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
AFI,CCN(C(C)C)C(C)C,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
AEN,CC[N+](CC)(CC)CC,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
AST,CC(C)[N+](C)(C)C,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MTW,C1CN2CCN1CC2,0.0,0.0,1.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,1.0,0.0
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
MTW,C1CCC[N+]2(CC1)CCCCC2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MFI,C1CCNC1,1.0,0.0,1.0,1.0,0.0,1.0,0.555,1.0,0.0,0.0,1.0,0.0
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
NON,CC1CCCN1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.0,0.0,1.0,0.0,0.0,1.0,0.005,1.0,0.0,0.0,1.0,0.0
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
CHA,CN(CCO)CCO,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
FAU,Cc1cccc(C)[n+]1C,0.0,0.0,1.0,1.0,1.0,1.0,0.745,1.0,1.0,0.0,0.0,0.0
NON,CC1CCCCN1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
CHA,CN1CCNCC1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ERI,C[N+]1(C)CCCCC1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
