,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-1.7197485,10.519267,-10.472148,12.54017,-16.862823,-9.254633,11.208734,12.175131,-5.1728787,-11.121085,24.254768,-12.8265,-3.1130695,9.195859,15.293629,-3.2983818,-6.9311223,1.524501,5.3208723,5.8700213,7.2120485,2.5330293,-10.705651,-13.403756,-10.411273,-7.3020954,0.4531583,8.394819,-9.418879,-1.299273,-7.5699325,-9.645486,8.85322,4.164645,-7.7328305,7.4573474,-3.337482,27.346018,-7.128454,-5.568444,1.1295695,12.275361,-5.675105,-10.161323,5.5201845,-1.9387363,-4.4831934,10.714379,15.248752,-4.8026175,-1.2750002,-4.1030865,18.764582,7.3384814,-4.4516335,3.4902453,5.189664,1.3054364,-11.125643,-12.440477,-31.516136,-2.3508646,21.29593,29.339928
1,6.47273,5.332329,1.4355658,12.168321,-3.966524,3.8217452,6.241824,1.0805901,3.848329,7.5657797,5.8359914,3.5689075,2.7001665,0.6304103,0.5969549,8.380246,5.998884,2.8881881,-4.701451,-0.24302708,3.468732,0.21632503,-0.7592978,0.16194558,-0.574304,-0.4439444,6.803023,9.188536,-3.5487852,4.304929,-8.691139,-5.4212394,2.510856,1.7317401,-1.5076052,6.970636,9.114208,2.9942455,-3.927386,-16.306776,-3.9335756,-6.2941394,-4.4807825,0.79973936,1.5651788,3.996294,0.12789866,0.6221791,5.9006867,-5.0521474,4.372781,-0.17553419,2.4137459,0.14602588,-1.3551731,-0.6119783,3.6140707,4.797299,0.61096776,-11.474463,-0.27373666,-0.6589061,2.0133278,1.0026673
2,5.5875545,5.608339,-0.41360024,13.870687,-3.8194876,1.5517547,7.909514,-0.7102665,1.7026491,8.149711,8.834445,1.3757987,1.2968137,0.92005736,1.2697166,8.216772,3.578741,3.5586853,-3.959442,-1.1852454,4.6341157,-0.8268838,-2.619065,0.4468019,-0.716832,0.3869877,5.8796124,8.562418,-0.99852145,6.1441584,-7.7507763,-7.636419,0.47595936,4.0180807,-3.226603,6.7456946,8.788635,6.632824,-3.6370115,-15.899166,-5.932091,-5.089799,-6.0568304,0.22610521,2.75879,3.0890875,2.32626,1.2368991,10.246866,-5.234178,0.43517426,-1.2697895,2.383758,0.5354533,0.8243561,-1.7757562,0.9808918,4.139267,0.7500483,-11.667308,-2.9137998,0.7910527,2.2011988,3.6192846
3,5.86331,5.7587657,-0.6687148,10.469231,-3.7894278,3.8947523,7.287319,0.83043575,2.753816,8.180948,7.0918684,3.0072126,1.5158904,2.109919,2.1115413,5.5045524,1.9430714,4.0353208,-2.8481627,1.5961093,0.7093477,-1.502792,-0.26505852,-1.4830883,-0.8415639,1.1257037,3.039028,5.382644,0.5751537,2.7410955,-5.095813,-5.7551155,2.29743,4.719471,-4.354316,3.8499362,9.483323,3.811763,-2.3475964,-13.52067,-6.666981,-4.042372,-3.5516832,-0.1053184,2.4134743,4.687763,2.9169033,1.5739489,7.8303375,-5.3827624,2.690162,-1.4571712,2.8792207,-3.161393,-1.3234822,0.51905155,1.2290369,4.992584,-0.7063627,-8.875675,-2.35864,0.30802143,0.8999348,2.1487825
4,5.3569136,5.100047,-0.62331754,12.146804,-3.396864,1.6719679,6.9753385,-0.19724038,1.8666444,7.299004,7.7972207,1.4193405,1.5154229,0.8312165,1.4578899,6.9854436,2.752853,3.0503466,-3.5450642,-0.6510711,3.4667032,-1.1164536,-1.5920956,0.02693671,-1.0343986,0.7680763,4.9887033,6.930324,-0.5348036,4.8367786,-6.567487,-6.6246085,0.7211867,3.876993,-3.0814614,5.673069,7.8741584,5.3976274,-3.0892582,-14.227775,-5.3973145,-4.0160103,-4.8190536,0.3318346,2.6358285,2.7273917,1.9135915,1.0549407,8.638886,-4.7335343,0.6268953,-1.1735282,2.0501587,-0.03633775,0.050656825,-1.3024797,0.99580497,4.191581,0.28623435,-10.076352,-2.4940276,0.5196387,1.6193336,2.8601503
5,4.993091,6.2374854,-1.8768901,11.139121,-3.6205063,2.1288884,7.3271213,-0.022969037,1.5412431,7.3451934,8.665044,0.8253607,0.8578475,1.33223,2.7743936,6.209115,0.12620738,3.5349276,-2.6455429,0.3765862,1.7988979,-1.7111615,-2.164733,-0.42396575,-1.4430552,1.2123863,3.9288688,4.482696,1.4806746,4.060415,-4.346949,-6.937316,1.3224771,5.3363323,-4.2290864,4.031058,7.683623,6.124388,-2.8027275,-12.279434,-6.1197114,-2.3459473,-4.235791,-0.49408847,3.525844,2.9127188,3.7064114,2.0115123,9.319862,-4.1355543,-0.8190666,-1.8521528,3.467806,-1.2982463,0.08570638,-0.82897353,-0.45583045,4.329441,0.46413788,-8.954737,-3.4736605,1.584386,1.406209,3.983274
6,-0.060853846,-13.363938,-17.310486,14.333859,-1.8995718,1.6161377,1.2110555,2.326284,-10.213278,2.833956,36.384953,-11.469954,1.5312407,4.4977145,7.4456286,-0.38576186,16.62303,0.8773967,-0.52760863,16.47378,1.5521837,-12.685008,-15.894008,-11.679985,-1.4203126,4.682123,11.719118,3.8970187,-10.777914,11.429341,6.8307114,-13.158044,0.8763502,19.188078,-5.370952,10.508647,2.5727055,5.73862,-14.13305,3.388784,-13.120052,-8.126654,-13.254013,2.9250877,-2.0121005,8.002605,1.4301695,13.15053,23.915169,-10.400271,-16.337114,-1.109092,3.1879263,1.6868526,-12.0354805,-7.6555023,4.916413,2.3759005,0.031541675,-34.730198,2.1377296,-2.4774008,11.650473,5.180375
7,-2.367528,-14.541558,-18.27142,12.486018,0.061736673,0.6708679,2.675668,1.8666006,-9.00854,4.4537544,33.481525,-11.123122,0.5836653,6.7267413,7.539382,1.854976,14.255891,1.1725427,-2.102141,17.504066,0.39952433,-10.178851,-16.712341,-13.03046,-1.3152792,1.8074212,10.990656,5.734113,-9.107406,11.049019,5.1339555,-14.998189,1.5930655,15.8956995,-4.950507,9.914861,0.6090961,7.1857266,-13.1737795,3.3462503,-13.581814,-5.232297,-13.418564,1.6162157,-1.053899,4.940266,2.2839932,14.413335,23.474483,-12.806168,-16.463633,-0.12195915,2.1782086,3.280458,-9.800799,-7.3541875,3.7236643,1.4044402,0.75218976,-32.455204,1.1931772,-1.7111423,9.981998,3.883114
8,-1.5753018,-15.928628,-24.40526,10.312629,-3.9966388,-2.5713477,8.712177,1.3739902,-9.995631,6.9174438,40.51559,-16.784435,1.4248394,4.925917,7.0426693,2.2475104,19.177412,4.052076,-1.7557153,19.26802,-0.3684913,-14.693141,-21.016792,-12.714447,-3.7732348,1.5590775,18.152044,4.0605764,-12.353544,13.807513,5.5522985,-17.128906,0.43259054,22.957335,-6.039976,14.4928255,-2.3133235,14.053448,-10.984192,3.6063712,-19.958853,-7.2611375,-17.808228,3.5832584,0.8359027,4.5005665,2.862074,16.439459,33.988594,-16.550953,-22.358332,-3.2135148,2.5185192,8.800931,-8.65925,-9.947826,0.15531135,2.7608695,3.2111888,-40.755383,3.4213617,-2.5529926,13.59124,2.162201
9,4.995861,3.3308372,-2.0568957,9.816358,-2.6708977,3.752772,6.202803,0.5890343,2.1899655,6.2780256,6.825482,1.9481136,-0.8920943,5.155558,3.4349852,4.0533285,-2.5738764,2.9523687,1.1633598,2.2038198,0.030156963,-0.84382033,0.21127939,-2.9022193,-2.1768708,0.74731344,0.34987047,1.9800911,2.65696,0.90577877,-1.6953924,-4.9821754,1.0895507,6.4062586,-6.384998,-0.40572494,9.0155,3.0292802,-0.75178814,-11.07195,-6.075769,-2.4567807,-3.4685323,-1.3273515,2.6654785,3.8803277,3.384898,1.7069635,8.034648,-6.9007463,1.1278261,-3.1335163,3.5432787,-2.845635,-1.4809697,0.92308664,0.69761175,3.9855204,-1.1723281,-5.974035,-4.726329,0.730229,0.9879217,3.5228229
