,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-16.9997,3.8710048,-10.315743,-3.7923765,13.762295,-5.040712,-8.671482,-0.69826996,4.147429,8.336201,6.792085,-19.655897,3.7430189,-12.7845745,-4.7489495,-3.6304796,18.822926,16.254736,-2.2863548,-1.0118713,1.968258,1.0831647,-1.018212,8.596345,-7.7792363,-1.2229302,-5.4345407,2.149598,5.4894066,-2.2803853,-1.8470367,-4.3756227,21.51484,0.016461425,16.969131,-7.7101526,9.060684,-2.7606752,-4.8205338,-0.6241492,8.142279,-6.7013283,4.9024973,-9.2884655,11.777053,-7.8885026,9.073352,6.331531,-8.813346,11.399121,-0.56745327,10.4291725,-12.243757,14.280866,-4.3928633,-1.5410945,-21.34151,0.115659975,-4.54784,-12.977031,4.6142926,-4.197427,-24.403854,9.151077
1,-17.06532,12.338078,5.5594187,11.318156,7.5681195,-5.351173,22.90458,-10.363382,-7.64103,-7.2771864,-8.088483,-7.220611,5.6870117,24.899185,-1.573551,-3.866747,12.035714,-2.693588,-31.378017,1.8033216,-14.035702,-4.924608,2.684897,-2.1060734,-2.375912,8.591952,2.4406376,9.143914,5.3726296,2.4436817,6.9926705,4.6485786,-3.252625,-2.123492,-4.0125065,-21.428265,6.963369,5.6778736,-0.18658255,-6.821441,-5.4497666,5.5024667,6.081083,-3.5597646,-12.092964,-6.21551,4.8308578,4.3546863,0.1532973,-12.761977,-8.772325,4.909856,-0.8529384,2.016199,1.7867073,1.5502734,-17.929752,8.325283,0.084392995,1.9005367,-11.628046,-7.0977764,-3.25367,3.5196886
2,-14.778504,6.0609097,-1.4268746,-9.102889,5.5853634,1.3622277,-5.302301,4.7260733,-0.73308516,2.414188,5.476924,-19.515825,4.8823028,-5.1162615,-5.425592,-4.6445723,7.237123,6.04243,0.64814794,-0.9882928,2.6083312,-6.832007,3.7646942,1.2880224,-2.1384592,0.61872095,-2.3973405,-0.29311228,1.5489386,-6.472448,3.2863896,-6.731433,11.401086,4.840023,13.709245,-8.50281,0.8311632,1.098476,-4.198863,2.3133245,5.107413,-5.136664,-0.21394947,-7.737987,3.648203,-4.793871,5.639857,0.8503077,-2.7330375,-0.25554714,-2.9312184,11.419106,-3.040464,3.9696937,2.8835354,-7.747762,-11.513396,-2.6351666,-1.9710296,-13.27155,2.5800068,-0.0030869544,-13.769305,10.60055
3,-2.373476,3.9207652,1.4499682,0.6620483,-0.5025824,-1.3685443,-4.8509994,1.4003778,-0.7627851,-4.617443,4.2823153,0.58404183,0.59992766,4.8565474,0.93092984,6.957053,8.221473,1.4892838,-7.50481,-0.014651716,-0.77167076,-4.6118855,0.37761304,0.49409115,-3.9518547,3.1771662,0.1062395,-3.3823957,-4.3713923,0.12317224,1.6705784,2.616416,2.2298892,1.8338228,5.041361,3.7330332,-3.7640545,-4.8154955,0.65257925,-2.457306,3.7878726,-2.9318278,8.072535,-3.0182474,1.0216821,0.165225,-5.8578568,3.333347,-1.4742783,-4.3108344,4.386208,3.216267,-1.6647415,1.0001872,11.839405,-1.3257668,4.185457,3.092966,3.1707287,-7.234015,-3.6003058,-7.8816338,2.6762524,-1.9342175
4,-10.311182,6.004883,-0.06524515,-9.663789,-4.1481633,0.47131222,-9.307171,-3.7473483,-0.30901477,6.9004736,9.160118,-15.5076685,1.868569,9.802032,-2.3118024,2.6763003,3.364535,-0.6413752,-4.9534235,-2.4761167,-1.6209002,-3.1533396,1.7875458,-4.3712,1.7103561,-4.987756,-1.5131288,2.1735957,0.7332474,-6.3188577,1.8728853,-9.186603,3.5995853,1.9315758,18.760822,-5.782508,1.5447866,2.3580458,0.32429242,1.4409724,1.5047436,1.0617383,5.5824604,-8.293285,4.9058332,-1.1804652,3.577192,1.1298106,3.9764414,-5.7414145,1.9531723,9.630702,-5.1331296,-1.1996415,6.9906006,-6.8514385,-7.7403092,-0.64338493,-10.437519,-10.829327,5.151411,2.4852855,-7.742987,9.063847
5,-13.311287,5.440515,-3.8514822,-3.8688247,-8.410511,-10.589467,-9.190704,-7.064669,-8.264912,7.6797194,5.82301,-20.248266,1.5174253,0.46988934,-0.10809775,3.8840768,21.449392,8.837829,-5.7560587,5.1664553,6.5708194,0.761949,6.0159564,-12.160465,-0.7347808,-10.428953,1.9061325,-1.0796446,22.684275,-4.151786,5.840017,-6.581286,10.96259,3.8670144,12.390819,-0.54777783,11.232052,-6.6063347,7.3838034,-1.6431817,6.639028,5.8173327,-0.96879137,-10.135086,1.7819228,-11.932426,1.0345958,-2.4124486,-2.0430555,7.6871176,2.289024,13.459875,-9.082,-10.800232,6.8423524,-16.896942,-11.583687,5.12118,-5.042704,1.6187031,14.039786,-1.2834818,-6.8022923,-7.172937
6,-5.275002,1.9238346,-0.7776915,-2.6083233,-0.5585865,1.0787117,0.22287287,2.0245898,-2.7800999,0.923839,2.4676948,-7.740432,4.531716,-0.0059624612,0.70177895,-1.411721,1.6442293,-0.6573462,2.381506,-0.7874733,-0.3059843,-2.5066109,-1.0199769,1.2624892,0.46543413,2.0797734,1.6557758,3.0556898,2.8829474,-4.135319,0.3010648,-2.2803009,3.5518465,-0.61768305,3.0947435,-1.575874,1.8672808,3.2906692,1.6183258,1.1914554,0.6890842,-2.495335,0.6562475,-3.1327765,0.15975672,2.262573,-1.9154991,-3.326077,-0.18816102,0.16273496,-2.9648201,2.3022094,-0.07371023,4.304547,2.0154843,-2.103867,-2.5270698,-5.1701646,2.8652947,-6.0120907,3.9360318,1.5779132,-0.9548229,2.9884472
7,-0.2985592,-6.0732026,1.1524527,6.269427,-9.594589,2.1330533,-5.3982377,-1.2059836,-0.8069166,0.8092363,-2.2872217,9.018905,4.44379,-6.7392397,-1.5087017,-2.7203925,-4.5403976,1.647061,6.648127,2.6754344,-3.2381265,-5.48028,9.977881,-2.6263673,-4.014317,7.337641,2.3268554,-10.707981,10.4131365,6.155999,5.7113686,2.4232554,-1.3479304,0.14937285,-2.3892474,-6.3328886,1.6097366,-0.67312515,1.7024484,-6.7009206,9.164799,-0.7498234,-6.1957154,-11.251145,-4.0182753,-8.438105,0.8531068,2.4240398,8.594009,2.8771667,1.4704325,-0.8553597,6.097955,-4.2452073,8.707001,8.218622,-3.292351,15.765067,1.2754222,9.63411,-0.19153485,-2.102205,-5.0097947,-5.8662543
8,-1.6300111,-0.58647984,-0.026869416,1.6535695,-0.5166608,-1.8006475,2.4434884,1.3430806,4.64817,-1.4252259,1.8834323,-1.0468619,6.0637584,3.2232077,-6.686295,-3.8474767,1.6611894,0.33997238,-5.392384,0.55526817,0.96485716,-0.007481396,1.9256865,-1.0507913,-1.7004697,3.6570256,1.9716146,2.69529,0.3398902,2.3768704,0.83970207,-1.0666982,5.0004005,1.1967698,0.99956155,-2.3623989,2.3432777,1.4135307,0.016976431,-3.6895075,0.27629322,-0.9030785,-1.932191,1.906519,0.26242715,-0.2543085,0.3477031,0.20053712,0.2426281,3.0500236,-2.522238,-2.3791413,0.8594265,1.5088811,2.223284,1.3901598,-2.040323,3.0149655,1.7832705,4.570532,-2.9039755,0.09142986,-1.9371569,-3.2185054
9,1.5983522,3.6482148,-3.435956,2.2187226,-7.738407,-1.191489,-2.1281877,-4.885213,0.39781535,0.93683934,-0.7349732,4.348381,-1.7949649,-3.268001,-0.7103385,-0.006792888,-3.3493755,-3.3328888,-7.400392,-0.33947495,-9.587119,4.8250847,-2.7500806,0.3246429,0.9622515,1.145443,-0.70536023,1.3839834,-0.7207017,5.1208367,1.2320023,-1.332306,-0.97235185,-0.23895314,5.6555004,-4.108535,2.6186671,4.838526,1.5252731,-4.3814564,1.9204459,-4.18715,5.4534674,-1.958941,2.8300622,2.1504674,-1.3599906,-0.4577482,3.0535932,2.6986544,-1.8666798,3.3212426,-0.30186483,-5.8173313,-0.23631895,0.9263508,-3.072879,0.5466659,1.2436507,-5.015646,3.4769626,-3.6726422,-1.8151665,4.5272884
