,Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,AFR,-0.016159872,-0.018104823,-0.05457243,-0.5722584,-0.3068395,0.06206749,-0.2898904,0.39198032,-0.3644221,-0.11637739,0.007749454,0.13570939,-0.14448054,0.017919943,0.1727717,-0.13197361,-0.19681528,-0.11260815,0.45492753,-0.35074738,0.29983985,-0.37532553,-0.52451026,-0.5308806,-0.039622914,0.39086267,0.33018902,0.07806756,-0.44758582,-0.13684759,-0.10826595,-0.0064832447,-0.04340436,-0.20528977,-0.013765875,-0.31884092,0.10689077,0.2582683,0.1280987,-0.30333716,-0.033704307,0.008377998,0.24260783,0.41786924,0.10159215,0.064359,-0.43114144,-0.09345986,0.15919034,0.21221057,-0.075301066,-0.35825112,0.23575443,0.45073432,-0.06533973,0.20549577,-0.3189027,0.4435852,-0.18682165,0.18987538,-0.18310843,0.044536073,-0.200663,-0.010325859
11,AFS,-0.09935166,-0.1362906,-0.17352979,-1.0717787,-0.4229361,-0.039539486,-0.5327784,0.8996714,-0.49054882,-0.086820945,0.015759123,0.26765412,-0.32550165,0.005245556,0.23622961,-0.3015182,-0.3025598,-0.36140636,0.9244904,-0.511567,0.5724541,-0.78029853,-0.9582197,-0.93051344,0.07512828,0.8056538,0.52358043,0.03687018,-0.8607796,-0.120906964,-0.10815963,-0.040425412,-0.13252616,-0.47871992,-0.08694587,-0.6780423,0.15535279,0.38034824,0.22200505,-0.59981006,-0.082627654,0.17053792,0.6595993,0.74516916,0.08403685,-0.04649631,-0.83791286,-0.31826785,0.43625432,0.5139404,-0.16099693,-0.61210364,0.46221703,0.7514722,0.14749382,0.37675294,-0.6166136,0.86658686,-0.4511809,0.23130696,-0.3142171,0.012707322,-0.27576935,-0.003799658
12,AFT,0.027792096,-0.017479297,-0.15816526,-1.4899514,-0.9952951,0.1321281,-0.9214937,0.62727636,-0.8514862,-0.2671077,0.15262602,0.24872859,-0.25472867,-0.10814329,0.3691636,-0.3980234,-0.44675818,-0.5531944,1.3437136,-1.0728993,0.8711917,-0.9895329,-1.2263606,-1.4913849,0.003130455,1.2672981,0.6825168,0.09210928,-1.0964903,-0.40118167,-0.56770694,0.04362088,-0.30078533,-0.5779233,0.05834615,-0.7872878,0.48056278,0.67333263,0.22321218,-0.47820815,0.070916586,0.0726184,0.44068086,1.2042482,0.1958666,0.00091600866,-1.280734,-0.43249202,0.27995884,0.6569085,-0.1740531,-0.89723796,0.6634074,1.3579549,-0.18779871,0.4248308,-0.84861237,1.0368994,-0.35371447,0.37999272,-0.4145326,0.07462133,-0.47255063,-0.038774934
13,AFV,0.029561343,-0.022144457,-0.056385424,-0.67425185,-0.3505268,0.06682277,-0.5028241,0.32546052,-0.30746824,-0.036951367,0.054193176,0.08222048,-0.15665281,-0.16981561,0.0691733,-0.28033417,-0.20723769,-0.29152986,0.6944202,-0.4323778,0.57871515,-0.5156362,-0.5242086,-0.72065073,0.043246835,0.628231,0.48261786,0.029631302,-0.5392545,-0.14339447,-0.23916401,0.013122488,-0.06887038,-0.32867122,-0.13552897,-0.2726039,0.19546446,0.38437983,0.086173885,-0.24152637,0.0850318,0.27598497,0.2370277,0.6492213,0.09125799,-0.019366717,-0.6632292,-0.3463622,0.08176823,0.31256083,-0.09432875,-0.53285533,0.30377242,0.6755444,0.009540939,0.25893247,-0.43329877,0.5309802,-0.26559505,0.18442245,-0.13988039,-0.060855474,-0.22493237,0.022316908
14,AFX,-0.10403436,-0.027286291,-0.23872827,-1.14469,-0.7363852,0.07204386,-0.6929836,0.57641876,-0.58161175,-0.14430034,-0.02812359,0.19702272,-0.06887667,-0.07804639,0.2575322,-0.19963948,-0.27227807,-0.5710412,1.1750598,-0.78944695,0.6003335,-0.7935335,-0.8544079,-1.209389,0.12575513,1.1065571,0.31378585,-0.014896147,-0.7301653,-0.41893288,-0.31049955,0.03899933,-0.3050891,-0.6354108,-0.012425404,-0.7201234,0.33703724,0.49605697,0.32441062,-0.41163197,-0.03605848,0.019856716,0.44699648,0.9468211,0.05736287,-0.03322158,-0.9219471,-0.3285413,0.44848704,0.6325361,-0.22034113,-0.5085315,0.44421253,0.9685712,-0.1644578,0.33320343,-0.58555764,0.9282995,-0.12763889,0.23019172,-0.41751498,0.15198894,-0.2984757,0.060519684
15,AFY,-0.0017466334,-0.11531345,0.13549617,-0.34946766,0.13716158,-0.08866754,0.20015326,0.65705055,-0.2561362,0.077806234,0.04816086,0.19509052,-0.08610955,-0.07566362,0.2628868,-0.34844285,-0.21425785,0.33886674,-0.043739878,-0.041278105,0.23886743,-0.22807798,-0.58048344,0.008953029,-0.4083431,-0.0842314,0.47275096,0.19151482,-0.42736888,0.16664049,0.32451597,-0.08063318,0.3011274,-0.009585709,-0.17823099,-0.05562284,-0.28016624,0.15437035,0.057573218,-0.48580438,-0.023323243,0.33589604,0.26760018,-0.12790886,0.31333053,0.1980441,-0.2096711,-0.020918058,0.03152349,-0.10780279,0.132234,-0.3788952,0.09936517,-0.05830378,0.076979145,0.34696853,-0.41558295,0.4195518,-0.4175221,0.27556813,-0.140477,-0.11512873,0.03436594,-0.08185777
16,AHT,0.045629103,-0.024651425,-0.01757225,-0.39571565,-0.19801621,0.06585603,-0.2431848,0.22160952,-0.19620141,-0.07357377,0.0014245991,0.04176331,-0.067051426,-0.06844866,0.056714397,-0.12574296,-0.13769042,-0.07201068,0.32514668,-0.26202154,0.30521163,-0.2792075,-0.28352937,-0.3877353,-0.0135505935,0.27648872,0.2857899,0.04726565,-0.28641453,-0.090133674,-0.1320114,-0.011045282,-0.02213788,-0.1535613,-0.079587184,-0.121924765,0.086964846,0.21076469,0.061652165,-0.17002584,0.03976326,0.09753637,0.11907867,0.3284684,0.06859231,0.034962278,-0.30269492,-0.1503697,0.060819827,0.13903674,-0.029589647,-0.29539707,0.16727,0.32818854,-0.045599747,0.15596461,-0.22499311,0.2770213,-0.16058119,0.14064072,-0.1043349,0.005666918,-0.1728995,0.02376809
17,ANA,-0.074612044,-0.067036085,-0.09312615,-0.426322,-0.19155857,-0.06370869,-0.28038278,0.25783798,-0.08517161,0.01124997,0.021901175,0.046151817,-0.15216817,-0.078669935,0.029128866,-0.1063635,-0.052118145,-0.35469246,0.5277956,-0.23185757,0.28364724,-0.37285325,-0.29901868,-0.4875886,0.15242888,0.4624833,0.123353414,-0.11214316,-0.3346773,-0.053351946,-0.1292093,0.023333889,-0.17888975,-0.25626358,-0.042647824,-0.31370655,0.13117462,0.18018304,0.10039065,-0.12214127,0.004879137,0.12466636,0.28831905,0.40127534,-0.051834356,-0.08979908,-0.45832425,-0.26521066,0.19529693,0.3016775,-0.10469997,-0.22723813,0.2313652,0.38150606,0.12589975,0.1082295,-0.22553065,0.38607737,-0.1312426,-0.03303684,-0.107213266,-0.051471606,-0.0686703,0.029181136
18,ANO,0.09497281,-0.0019797634,-0.076847576,-1.4679478,-1.0734951,0.11781149,-1.1832287,0.36815056,-0.77621996,-0.33929855,0.40976238,0.17199947,-0.7757552,-0.05477129,0.25454593,-0.4519288,-0.43755147,-0.7846463,1.4425108,-1.0946797,0.9703507,-1.0278578,-1.261454,-1.6409949,0.22681203,1.2975137,0.89053154,-0.007823568,-1.3357319,-0.18886428,-0.9367746,0.110471,-0.43394634,-0.34792027,0.23817226,-0.8600435,0.73586524,0.68790007,-0.002141933,-0.22696032,0.16646144,0.08457691,0.46347925,1.4887754,0.07379601,-0.16795246,-1.6168298,-0.61180055,0.009892268,0.6934855,-0.23263875,-1.1560222,0.9189536,1.738708,0.11496333,0.23492873,-0.8606708,0.840241,-0.5467634,0.15968789,-0.16454852,-0.17703098,-0.5841192,-0.13959073
19,APC,0.10197286,-0.046717677,0.0071977726,-0.3284984,-0.12755965,0.03154633,-0.25455722,0.14823247,-0.079872005,-0.0651267,0.08432123,0.010705186,-0.17521894,-0.06137464,-0.01383551,-0.15281071,-0.11603145,-0.065951675,0.24099694,-0.18022048,0.29629055,-0.24713269,-0.2178525,-0.29302037,0.033108998,0.18440862,0.29125404,0.02564189,-0.2901962,0.0272311,-0.20586154,-0.023671478,-0.049533717,-0.046071462,-0.058162875,-0.06922754,0.103714146,0.13748172,-0.05670256,-0.08736509,0.09118727,0.12048266,0.118360765,0.28663895,0.03079078,-0.032899488,-0.28430068,-0.19412646,-0.0051829987,0.11747827,-0.011514661,-0.29822206,0.2000631,0.30212855,0.10625531,0.09074605,-0.1924587,0.12950306,-0.25637522,0.090027906,0.0029843391,-0.071096525,-0.17914261,-0.008464565
