zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.935,0.94,0.99,1.0,1.0,0.99,1.0,0.97,0.86,1.0,0.98,0.655
AEL,CCCNCCC,0.54,0.99,0.98,1.0,0.975,0.945,0.825,0.965,0.98,0.92,0.99,0.95
CHA,OSDA-free,0.715,0.99,1.0,1.0,0.855,0.905,0.89,1.0,0.99,1.0,0.92,1.0
MFI,OSDA-free,0.91,0.995,1.0,1.0,0.77,0.83,0.81,0.995,0.985,1.0,0.755,0.95
CHA,CCN(CC)CC,0.79,0.93,0.985,0.985,0.935,1.0,0.955,1.0,0.95,1.0,0.615,0.985
LTA,C[N+](C)(C)C,0.545,0.975,0.995,1.0,0.98,0.905,0.47,0.99,0.675,0.75,0.97,0.99
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.915,0.98,1.0,1.0,0.87,0.99,0.94,0.925,0.92,0.95,0.87,0.91
CHA,C1COCCN1,0.37,0.31,1.0,1.0,0.565,1.0,0.69,0.995,1.0,0.9,0.81,0.965
ATO,CCCNCCC,0.53,0.56,1.0,1.0,0.825,0.965,0.785,0.875,0.755,0.865,0.66,0.485
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.635,0.98,0.905,0.925,0.69,0.92,0.87,0.97,0.57,0.505,0.485,0.345
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.94,0.57,0.995,0.995,0.95,1.0,1.0,0.935,0.69,0.755,0.625,0.585
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.635,0.54,0.87,0.96,0.765,0.935,0.575,0.74,0.32,0.64,0.645,0.585
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.54,0.995,0.915,0.965,0.82,0.965,0.84,0.96,0.985,0.85,0.45,0.445
