zeo,MMD
CHA,0.3810567855834961
AEL,1.5566396713256836
MFI,0.2807292938232422
LTA,0.6041932106018066
AFI,0.1473560333251953
IWR,0.7284669876098633
BEA,0.14461040496826172
MTW,0.1179046630859375
MEL,1.324315071105957
LEV,0.5790824890136719
FAU,0.389312744140625
BEC,0.11723804473876953
FER,0.04117298126220703
ATO,2.580132484436035
MWW,1.132411003112793
IMF,3.12888240814209
AEN,0.3759164810180664
STF,0.33001708984375
MAZ,1.2392120361328125
AEI,1.2769184112548828
GIS,1.9177803993225098
TON,0.7118606567382812
ITE,1.0773372650146484
NON,0.011206626892089844
MOR,0.0038127899169921875
AST,0.6951885223388672
PHI,1.0228605270385742
SAV,0.6888504028320312
UOV,1.5136041641235352
ITT,1.3211097717285156
MTT,0.6652040481567383
ITG,1.5695209503173828
CON,1.2841367721557617
NSI,2.4219002723693848
ERI,0.29120922088623047
MTN,0.5860977172851562
MRE,0.8761835098266602
AFR,1.136885643005371
SWY,5.582179546356201
LAU,2.997429847717285
DDR,0.525146484375
AFX,1.8878402709960938
UFI,4.244925498962402
ISV,1.4383430480957031
ANA,0.18042373657226562
CLO,3.195326328277588
OFF,1.5100221633911133
STI,4.00333833694458
CTH,0.36717987060546875
SFS,0.7253408432006836
AWO,0.39211463928222656
DOH,3.403960704803467
SOD,0.45242834091186523
STW,-0.09584903717041016
UOZ,2.3404288291931152
MEI,0.47711658477783203
ETL,0.8687334060668945
AVE,2.7991943359375
SZR,0.4506216049194336
JST,2.555264472961426
IFR,2.58567476272583
IFW,1.1268224716186523
CGS,2.0931625366210938
PWN,1.0197601318359375
ATS,1.2837543487548828
RTH,0.6173858642578125
EUO,0.32158946990966797
EMT,0.9701032638549805
BPH,1.4315299987792969
AWW,2.8778181076049805
ASV,1.0385918617248535
IHW,3.398221492767334
RWY,6.250822067260742
LTJ,3.6153903007507324
SFH,2.295482635498047
NES,0.055644989013671875
IRR,1.574336051940918
TUN,4.057019233703613
IWV,0.44138526916503906
EON,2.3089098930358887
STO,3.197208881378174
ITW,0.23952770233154297
SFW,7.255859375
IFU,7.093321800231934
VFI,1.2935752868652344
EEI,4.025859832763672
SFG,0.3927955627441406
LOS,5.608636379241943
SFV,7.2586445808410645
IFO,3.7584915161132812
RTE,6.084052085876465
MER,6.337780475616455
AFN,4.032425880432129
APC,2.7739715576171875
SFN,3.4447765350341797
SSY,0.4054746627807617
PUN,5.5792694091796875
LTL,4.63450288772583
UOS,3.230031967163086
CGF,5.259523868560791
AHT,3.5945911407470703
VET,2.9905996322631836
ABW,3.3918066024780273
PWW,0.5267581939697266
